loan_id,customer_id,branch_id,product,origination_date,term_months,exposure_gbp,interest_rate_pct,credit_score,credit_score_band,debt_to_income_ratio,loan_to_value_pct,sector,region,days_past_due,ifrs9_stage,default_flag,probability_of_default,loss_given_default,expected_credit_loss_gbp,collateral_type
L00308,C02970,BR02,Mortgage,2026-03-02,300,190800,4.64,763,Excellent (740+),1.43,59.6,Self-employed,London,0,Stage 1 (Performing),N,0.0023,0.18,79,Property
L00309,C01323,BR10,Personal Loan,2025-04-19,60,18500,9.8,596,Fair (580-669),0.28,,Employee,Northern Ireland,0,Stage 1 (Performing),N,0.0322,0.45,268,Unsecured
L00310,C02774,BR02,Mortgage,2025-03-31,300,259900,5.34,682,Good (670-739),5.74,58.3,Employee,London,0,Stage 1 (Performing),N,0.0383,0.18,1792,Property
L00311,C00731,BR06,Mortgage,2025-09-21,300,194100,4.77,744,Excellent (740+),3.65,40.0,Employee,Scotland,0,Stage 1 (Performing),N,0.0068,0.18,238,Property
L00312,C00629,BR02,Personal Loan,2025-01-18,36,13900,7.96,807,Excellent (740+),0.36,,Employee,London,0,Stage 1 (Performing),N,0.001,0.45,6,Unsecured
L00313,C00500,BR02,Personal Loan,2025-12-25,24,12200,8.28,765,Excellent (740+),0.52,,Retired,London,0,Stage 1 (Performing),N,0.0022,0.45,12,Unsecured
L00314,C02894,BR02,Credit Card,2024-11-15,36,3400,20.16,582,Fair (580-669),0.14,,Retired,London,0,Stage 1 (Performing),N,0.0385,0.78,102,Unsecured
L00315,C02196,BR03,Mortgage,2025-07-10,300,164000,5.94,588,Fair (580-669),3.64,56.6,Retired,North West,15,Stage 1 (Performing),N,0.0837,0.18,2471,Property
L00316,C02222,BR07,Credit Card,2026-05-06,60,6200,19.88,635,Fair (580-669),0.2,,Employee,Scotland,0,Stage 1 (Performing),N,0.0166,0.78,80,Unsecured
L00317,C00124,BR10,Business Overdraft,2025-10-13,12,20800,8.39,756,Excellent (740+),0.05,,Hospitality,Northern Ireland,0,Stage 1 (Performing),N,0.0021,0.78,34,Unsecured
L00318,C01120,BR01,Mortgage,2026-07-05,300,133700,4.73,749,Excellent (740+),2.54,72.8,Director,London,0,Stage 1 (Performing),N,0.0042,0.18,101,Property
L00319,C00824,BR01,Personal Loan,2024-10-13,12,27400,8.21,775,Excellent (740+),0.32,,Employee,London,0,Stage 1 (Performing),N,0.0017,0.45,21,Unsecured
L00320,C01875,BR06,Mortgage,2025-02-04,300,392400,5.21,686,Good (670-739),6.7,56.5,Senior Public Official,Scotland,0,Stage 1 (Performing),N,0.0392,0.18,2769,Property
L00321,C00389,BR06,Mortgage,2024-10-11,300,284600,5.42,656,Fair (580-669),3.38,69.6,Self-employed,Scotland,0,Stage 1 (Performing),N,0.0262,0.18,1342,Property
L00322,C02383,BR06,Mortgage,2025-08-11,300,219200,5.4,670,Good (670-739),4.66,54.7,Property Investor,Scotland,0,Stage 1 (Performing),N,0.0322,0.18,1270,Property
L00323,C01870,BR07,Mortgage,2024-12-15,300,246200,5.87,633,Fair (580-669),9.0,52.4,Employee,Scotland,0,Stage 1 (Performing),N,0.0898,0.18,3980,Property
L00324,C02986,BR10,Mortgage,2024-07-20,300,118600,5.08,696,Good (670-739),7.11,41.8,Employee,Northern Ireland,0,Stage 1 (Performing),N,0.0334,0.18,713,Property
L00325,C02910,BR05,SME Term Loan,2025-01-12,36,96600,10.04,547,Poor (300-579),0.16,,Technology,North East,15,Stage 1 (Performing),N,0.0508,0.45,2208,Unsecured
L00326,C01740,BR04,Invoice Finance,2025-03-03,24,69500,8.8,701,Good (670-739),0.14,,Hospitality,Midlands,0,Stage 1 (Performing),N,0.0041,0.45,128,Receivables
L00327,C00900,BR01,Mortgage,2025-02-10,300,206300,5.05,714,Good (670-739),6.62,67.0,Employee,London,0,Stage 1 (Performing),N,0.0249,0.18,925,Property
L00328,C00598,BR06,Mortgage,2024-03-13,300,273400,4.9,725,Good (670-739),2.57,62.3,Employee,Scotland,0,Stage 1 (Performing),N,0.0064,0.18,315,Property
L00329,C00631,BR03,Personal Loan,2025-04-12,36,8800,9.16,642,Fair (580-669),0.35,,Employee,North West,0,Stage 1 (Performing),N,0.0156,0.45,62,Unsecured
L00330,C02212,BR06,Mortgage,2024-08-02,300,244100,5.67,665,Fair (580-669),9.0,78.9,Self-employed,Scotland,0,Stage 1 (Performing),N,0.0547,0.18,2403,Property
L00331,C02918,BR02,Mortgage,2024-11-19,300,112300,5.87,625,Fair (580-669),2.46,60.7,Employee,London,0,Stage 1 (Performing),N,0.0316,0.18,639,Property
L00332,C02396,BR02,Mortgage,2025-03-22,300,222400,4.51,770,Excellent (740+),4.72,66.8,Retired,London,0,Stage 1 (Performing),N,0.0064,0.18,256,Property
L00333,C01350,BR07,Mortgage,2024-11-18,300,171200,5.28,671,Good (670-739),2.32,72.6,Employee,Scotland,0,Stage 1 (Performing),N,0.0142,0.18,438,Property
L00334,C02448,BR01,Mortgage,2025-11-17,300,124800,5.2,675,Good (670-739),2.83,66.0,Employee,London,0,Stage 1 (Performing),N,0.0159,0.18,357,Property
L00335,C01476,BR03,Personal Loan,2024-08-02,60,10300,9.22,629,Fair (580-669),0.12,,Employee,North West,0,Stage 1 (Performing),N,0.0178,0.45,83,Unsecured
L00336,C01911,BR06,Personal Loan,2025-06-25,24,12400,9.04,653,Fair (580-669),0.38,,Student,Scotland,0,Stage 1 (Performing),N,0.0132,0.45,74,Unsecured
L00337,C01912,BR02,Credit Card,2024-09-05,24,3100,19.73,651,Fair (580-669),0.05,,Employee,London,0,Stage 1 (Performing),N,0.0121,0.78,29,Unsecured
L00338,C01714,BR04,Overdraft,2026-06-21,12,3800,9.15,653,Fair (580-669),0.06,,Employee,Midlands,0,Stage 1 (Performing),N,0.0088,0.78,26,Unsecured
L00339,C00563,BR05,Mortgage,2025-11-07,300,164600,4.33,780,Excellent (740+),8.15,58.4,Employee,North East,0,Stage 1 (Performing),N,0.0084,0.18,249,Property
L00340,C00593,BR07,Personal Loan,2026-05-16,36,18500,10.09,486,Poor (300-579),0.38,,Employee,Scotland,0,Stage 1 (Performing),N,0.2528,0.45,2105,Unsecured
L00341,C01860,BR03,Personal Loan,2024-03-24,24,16900,8.66,714,Good (670-739),0.32,,Director,North West,0,Stage 1 (Performing),N,0.0047,0.45,36,Unsecured
L00342,C00371,BR06,Mortgage,2025-08-08,300,171400,4.69,757,Excellent (740+),1.96,67.2,Property Investor,Scotland,0,Stage 1 (Performing),N,0.003,0.18,93,Property
L00343,C01612,BR10,Credit Card,2024-09-11,36,7700,19.75,616,Fair (580-669),0.1,,Employee,Northern Ireland,0,Stage 1 (Performing),N,0.0219,0.78,132,Unsecured
L00344,C02099,BR05,Credit Card,2024-11-10,60,2200,20.75,544,Poor (300-579),0.07,,Self-employed,North East,0,Stage 1 (Performing),N,0.0686,0.78,118,Unsecured
L00345,C02660,BR10,Overdraft,2025-02-27,60,3200,8.58,730,Good (670-739),0.08,,Employee,Northern Ireland,0,Stage 1 (Performing),N,0.0025,0.78,6,Unsecured
L00346,C01877,BR07,Credit Card,2025-09-30,36,4200,20.26,579,Poor (300-579),0.14,,Employee,Scotland,0,Stage 1 (Performing),N,0.0404,0.78,132,Unsecured
L00347,C00066,BR02,Credit Card,2024-12-21,36,5700,20.86,582,Fair (580-669),0.69,,Employee,London,0,Stage 1 (Performing),N,0.0463,0.78,206,Unsecured
L00348,C02997,BR03,Mortgage,2025-01-01,300,111900,5.32,690,Good (670-739),2.33,78.0,Employee,North West,0,Stage 1 (Performing),N,0.0104,0.18,209,Property
L00349,C00637,BR05,Mortgage,2025-12-15,300,132000,4.97,716,Good (670-739),1.85,67.4,Employee,North East,0,Stage 1 (Performing),N,0.0058,0.18,138,Property
L00350,C01948,BR06,Mortgage,2024-07-15,300,154600,5.21,678,Good (670-739),6.96,61.1,Employee,Scotland,0,Stage 1 (Performing),N,0.0445,0.18,1238,Property
L00351,C00912,BR04,Mortgage,2025-10-13,300,224800,5.85,647,Fair (580-669),5.84,97.0,Employee,Midlands,0,Stage 1 (Performing),N,0.0688,0.18,2784,Property
L00352,C02553,BR01,SME Term Loan,2025-06-02,36,99800,8.19,768,Excellent (740+),0.41,,Retail,London,0,Stage 1 (Performing),N,0.0015,0.45,67,Unsecured
L00353,C00006,BR02,Commercial Mortgage,2024-03-17,300,428200,5.88,573,Poor (300-579),0.65,92.4,Precious Metals,London,0,Stage 1 (Performing),N,0.0607,0.18,4679,Property
L00354,C00720,BR02,Personal Loan,2024-12-10,36,10800,7.46,834,Excellent (740+),0.34,,Employee,London,0,Stage 1 (Performing),N,0.0006,0.45,3,Unsecured
L00355,C02859,BR09,Credit Card,2025-05-11,12,3000,20.03,633,Fair (580-669),0.05,,Director,Wales,0,Stage 1 (Performing),N,0.0163,0.78,38,Unsecured
L00356,C00404,BR08,Mortgage,2024-06-29,300,121300,5.32,691,Good (670-739),3.08,89.3,Employee,South West,0,Stage 1 (Performing),N,0.0133,0.18,290,Property
L00357,C00112,BR01,Personal Loan,2025-10-24,36,10000,9.6,634,Fair (580-669),0.21,,Property Investor,London,0,Stage 1 (Performing),N,0.017,0.45,76,Unsecured
L00358,C01454,BR01,Mortgage,2025-03-27,300,280100,5.31,675,Good (670-739),4.6,51.5,Employee,London,45,Stage 2 (Significant increase in risk),N,0.0291,0.18,5135,Property
L00359,C02144,BR01,Mortgage,2025-10-04,300,347100,5.1,713,Good (670-739),4.84,81.0,Retired,London,0,Stage 1 (Performing),N,0.017,0.18,1062,Property
L00360,C01894,BR06,Credit Card,2024-12-26,24,3200,19.26,699,Good (670-739),0.05,,Self-employed,Scotland,0,Stage 1 (Performing),N,0.0055,0.78,14,Unsecured
L00361,C02597,BR04,Commercial Mortgage,2024-10-23,300,678800,4.38,776,Excellent (740+),1.49,79.0,Technology,Midlands,0,Stage 1 (Performing),N,0.0019,0.18,232,Property
L00362,C01245,BR01,SME Term Loan,2024-07-31,36,52600,8.84,686,Good (670-739),0.18,,Technology,London,0,Stage 1 (Performing),N,0.0053,0.45,125,Unsecured
L00363,C01168,BR03,Commercial Mortgage,2025-02-06,300,595400,4.91,729,Good (670-739),0.94,60.6,Retail,North West,0,Stage 1 (Performing),N,0.0034,0.18,364,Property
L00364,C00042,BR01,Credit Card,2025-06-06,24,2500,19.26,711,Good (670-739),0.09,,Employee,London,0,Stage 1 (Performing),N,0.0046,0.78,9,Unsecured
L00365,C01797,BR04,Mortgage,2024-06-27,300,246500,6.23,594,Fair (580-669),7.81,79.7,Employee,Midlands,0,Stage 1 (Performing),N,0.1589,0.18,7050,Property
L00366,C02306,BR08,Mortgage,2025-02-09,300,145200,4.68,750,Excellent (740+),2.09,62.6,Property Investor,South West,0,Stage 1 (Performing),N,0.0036,0.18,94,Property
L00367,C00302,BR05,Invoice Finance,2024-09-28,24,39300,10.93,505,Poor (300-579),0.05,,Money Services,North East,0,Stage 1 (Performing),N,0.094,0.45,1662,Receivables
L00368,C01108,BR01,Mortgage,2025-02-21,300,173900,4.45,779,Excellent (740+),3.3,83.0,Property Investor,London,0,Stage 1 (Performing),N,0.0034,0.18,106,Property
L00369,C00423,BR03,Credit Card,2025-04-01,12,7500,20.55,587,Fair (580-669),0.14,,Retired,North West,0,Stage 1 (Performing),N,0.0355,0.78,208,Unsecured
L00370,C02832,BR09,Mortgage,2026-01-19,300,164900,5.83,615,Fair (580-669),8.26,49.5,Employee,Wales,0,Stage 1 (Performing),N,0.1175,0.18,3488,Property
L00371,C02820,BR01,Business Overdraft,2025-09-11,24,33100,9.16,644,Fair (580-669),0.07,,Professional Services,London,0,Stage 1 (Performing),N,0.0137,0.78,354,Unsecured
L00372,C01575,BR01,Business Overdraft,2026-05-12,60,26900,9.44,602,Fair (580-669),0.05,,Import/Export,London,0,Stage 1 (Performing),N,0.0271,0.78,569,Unsecured
L00373,C02163,BR03,Mortgage,2024-12-26,300,252600,5.41,660,Fair (580-669),4.3,50.1,Student,North West,45,Stage 2 (Significant increase in risk),N,0.0335,0.18,5331,Property
L00374,C01441,BR07,SME Term Loan,2025-05-29,12,109600,8.02,782,Excellent (740+),0.05,,Technology,Scotland,0,Stage 1 (Performing),N,0.001,0.45,49,Unsecured
L00375,C00212,BR06,Mortgage,2025-04-12,300,291700,4.22,807,Excellent (740+),9.0,93.1,Employee,Scotland,0,Stage 1 (Performing),N,0.0054,0.18,284,Property
L00376,C02574,BR02,Mortgage,2024-11-29,300,130300,4.49,771,Excellent (740+),1.64,73.3,Employee,London,0,Stage 1 (Performing),N,0.0021,0.18,49,Property
L00377,C00158,BR02,Mortgage,2026-09-21,300,225500,5.05,709,Good (670-739),9.0,64.8,Retired,London,0,Stage 1 (Performing),N,0.027,0.18,1096,Property
L00378,C00157,BR09,SME Term Loan,2026-10-10,12,111400,10.99,513,Poor (300-579),0.2,,Hospitality,Wales,45,Stage 2 (Significant increase in risk),N,0.1305,0.45,22897,Unsecured
L00379,C01990,BR03,Mortgage,2024-09-11,300,171100,5.75,643,Fair (580-669),5.51,46.5,Employee,North West,0,Stage 1 (Performing),N,0.0657,0.18,2023,Property
L00380,C00605,BR06,Mortgage,2026-03-20,300,258800,4.48,783,Excellent (740+),5.15,86.5,Student,Scotland,0,Stage 1 (Performing),N,0.006,0.18,280,Property
L00381,C01123,BR08,Business Overdraft,2024-11-14,60,16000,9.25,621,Fair (580-669),0.05,,Import/Export,South West,0,Stage 1 (Performing),N,0.0308,0.78,384,Unsecured
L00382,C02603,BR03,Mortgage,2024-02-20,300,304400,4.26,791,Excellent (740+),9.0,69.5,Student,North West,0,Stage 1 (Performing),N,0.007,0.18,384,Property
L00383,C00933,BR01,Mortgage,2024-08-31,300,162500,4.59,769,Excellent (740+),3.84,81.0,Employee,London,0,Stage 1 (Performing),N,0.0048,0.18,140,Property
L00384,C00104,BR02,Personal Loan,2025-04-07,36,10700,8.58,732,Good (670-739),0.17,,Director,London,0,Stage 1 (Performing),N,0.0033,0.45,16,Unsecured
L00385,C00871,BR01,Credit Card,2024-08-12,60,5700,19.58,655,Fair (580-669),0.27,,Employee,London,0,Stage 1 (Performing),N,0.0123,0.78,55,Unsecured
L00386,C01094,BR09,Commercial Mortgage,2024-12-06,300,679500,6.53,581,Fair (580-669),2.3,81.6,Professional Services,Wales,0,Stage 1 (Performing),N,0.0604,0.18,7388,Property
L00387,C00455,BR03,Mortgage,2024-04-22,300,172400,5.97,625,Fair (580-669),5.91,69.4,Employee,North West,0,Stage 1 (Performing),N,0.0984,0.18,3054,Property
L00388,C00241,BR02,Credit Card,2025-09-16,24,3000,20.31,555,Poor (300-579),0.28,,Self-employed,London,75,Stage 2 (Significant increase in risk),N,0.0938,0.78,768,Unsecured
L00389,C02599,BR04,Credit Card,2025-09-07,24,6200,20.01,624,Fair (580-669),0.07,,Employee,Midlands,0,Stage 1 (Performing),N,0.019,0.78,92,Unsecured
L00390,C01184,BR04,Personal Loan,2025-10-21,36,3400,8.85,705,Good (670-739),0.05,,Student,Midlands,0,Stage 1 (Performing),N,0.005,0.45,8,Unsecured
L00391,C00891,BR01,Mortgage,2025-03-25,300,398700,5.71,612,Fair (580-669),9.0,48.3,Employee,London,0,Stage 1 (Performing),N,0.1227,0.18,8806,Property
L00392,C00141,BR10,SME Term Loan,2025-09-11,60,168700,8.72,709,Good (670-739),0.18,,Construction,Northern Ireland,0,Stage 1 (Performing),N,0.0036,0.45,273,Unsecured
L00393,C00653,BR07,Credit Card,2024-10-30,36,2500,18.9,754,Excellent (740+),0.05,,Employee,Scotland,0,Stage 1 (Performing),N,0.0022,0.78,4,Unsecured
L00394,C00698,BR01,Credit Card,2024-06-04,60,6800,19.62,643,Fair (580-669),0.15,,Director,London,0,Stage 1 (Performing),N,0.0143,0.78,76,Unsecured
L00395,C02480,BR05,SME Term Loan,2026-07-03,36,112000,11.95,446,Poor (300-579),0.05,,Construction,North East,100,Stage 3 (Credit-impaired),Y,0.2171,0.45,98477,Unsecured
L00396,C01664,BR02,Credit Card,2024-11-14,60,4900,19.33,695,Good (670-739),0.14,,Employee,London,0,Stage 1 (Performing),N,0.0061,0.78,23,Unsecured
L00397,C02021,BR07,Personal Loan,2024-09-17,60,4400,9.13,672,Good (670-739),0.05,,Employee,Scotland,0,Stage 1 (Performing),N,0.0086,0.45,17,Unsecured
L00398,C02739,BR01,Mortgage,2025-02-03,300,178100,4.64,762,Excellent (740+),2.25,80.8,Self-employed,London,0,Stage 1 (Performing),N,0.0031,0.18,99,Property
L00399,C02257,BR05,Credit Card,2025-02-04,24,3700,19.87,626,Fair (580-669),0.05,,Employee,North East,0,Stage 1 (Performing),N,0.0183,0.78,53,Unsecured
L00400,C00769,BR04,Personal Loan,2026-04-22,36,10100,9.16,682,Good (670-739),0.1,,Self-employed,Midlands,0,Stage 1 (Performing),N,0.0074,0.45,34,Unsecured
L00401,C02326,BR05,SME Term Loan,2025-08-18,36,80500,10.0,530,Poor (300-579),0.05,,Real Estate,North East,0,Stage 1 (Performing),N,0.0969,0.45,3510,Unsecured
L00402,C01481,BR04,Invoice Finance,2026-05-05,24,53100,9.01,660,Fair (580-669),0.81,,Technology,Midlands,0,Stage 1 (Performing),N,0.0101,0.45,241,Receivables
L00403,C02834,BR05,Commercial Mortgage,2025-11-12,300,119500,6.06,626,Fair (580-669),0.26,58.3,Import/Export,North East,0,Stage 1 (Performing),N,0.0228,0.18,490,Property
L00404,C00719,BR01,Mortgage,2025-03-12,300,202300,5.36,678,Good (670-739),3.45,58.9,Employee,London,0,Stage 1 (Performing),N,0.0187,0.18,681,Property
L00405,C02441,BR04,Personal Loan,2026-04-26,24,8900,9.2,659,Fair (580-669),0.24,,Retired,Midlands,0,Stage 1 (Performing),N,0.0114,0.45,46,Unsecured
L00406,C00340,BR01,Personal Loan,2025-06-03,60,11600,8.86,709,Good (670-739),0.14,,Employee,London,0,Stage 1 (Performing),N,0.0048,0.45,25,Unsecured
L00407,C00878,BR01,Credit Card,2024-07-12,60,3200,19.0,740,Excellent (740+),0.05,,Employee,London,0,Stage 1 (Performing),N,0.0028,0.78,7,Unsecured
L00408,C02102,BR08,Invoice Finance,2024-07-18,12,60100,9.68,629,Fair (580-669),0.13,,Construction,South West,0,Stage 1 (Performing),N,0.0133,0.45,360,Receivables
L00409,C02117,BR04,Credit Card,2026-02-01,60,4500,19.08,731,Good (670-739),0.17,,Self-employed,Midlands,0,Stage 1 (Performing),N,0.0034,0.78,12,Unsecured
L00410,C00195,BR09,SME Term Loan,2026-01-17,60,208300,10.49,508,Poor (300-579),0.14,,Retail,Wales,0,Stage 1 (Performing),N,0.0924,0.45,8661,Unsecured
L00411,C01553,BR03,Mortgage,2025-02-05,300,153600,6.04,621,Fair (580-669),7.88,52.3,Employee,North West,0,Stage 1 (Performing),N,0.1075,0.18,2972,Property
L00412,C01696,BR01,Overdraft,2025-03-06,36,5300,8.37,756,Excellent (740+),0.21,,Employee,London,0,Stage 1 (Performing),N,0.0017,0.78,7,Unsecured
L00413,C00809,BR01,Mortgage,2024-09-04,300,198300,5.14,684,Good (670-739),3.9,88.4,Self-employed,London,0,Stage 1 (Performing),N,0.0198,0.18,707,Property
L00414,C01232,BR02,Credit Card,2026-06-29,24,2700,19.84,629,Fair (580-669),0.07,,Student,London,0,Stage 1 (Performing),N,0.0175,0.78,37,Unsecured
L00415,C01751,BR08,Mortgage,2024-11-21,300,116600,5.91,641,Fair (580-669),5.26,65.2,Self-employed,South West,0,Stage 1 (Performing),N,0.0624,0.18,1310,Property
L00416,C01708,BR04,Personal Loan,2026-06-22,12,17600,9.1,665,Fair (580-669),0.15,,Employee,Midlands,0,Stage 1 (Performing),N,0.01,0.45,79,Unsecured
L00417,C01836,BR01,Personal Loan,2025-06-03,12,6200,8.67,722,Good (670-739),0.12,,Employee,London,0,Stage 1 (Performing),N,0.0038,0.45,11,Unsecured
L00418,C01736,BR10,Credit Card,2024-09-14,12,6000,19.1,730,Good (670-739),0.09,,Retired,Northern Ireland,0,Stage 1 (Performing),N,0.0033,0.78,15,Unsecured
L00419,C02388,BR02,Invoice Finance,2025-11-01,36,70000,8.92,701,Good (670-739),0.05,,Professional Services,London,0,Stage 1 (Performing),N,0.0039,0.45,123,Receivables
L00420,C02018,BR04,Mortgage,2024-09-15,300,171600,5.59,645,Fair (580-669),4.53,69.4,Employee,Midlands,0,Stage 1 (Performing),N,0.046,0.18,1421,Property
L00421,C01041,BR02,Personal Loan,2024-02-17,12,9000,8.8,710,Good (670-739),0.31,,Employee,London,0,Stage 1 (Performing),N,0.005,0.45,20,Unsecured
L00422,C00035,BR09,Personal Loan,2025-07-21,24,14900,9.39,631,Fair (580-669),0.34,,Employee,Wales,0,Stage 1 (Performing),N,0.0186,0.45,125,Unsecured
L00423,C02735,BR10,Mortgage,2026-01-07,300,235900,5.86,599,Fair (580-669),4.78,55.4,Employee,Northern Ireland,0,Stage 1 (Performing),N,0.1018,0.18,4323,Property
L00424,C01524,BR03,Credit Card,2026-02-27,24,5600,19.21,708,Good (670-739),0.19,,Employee,North West,0,Stage 1 (Performing),N,0.005,0.78,22,Unsecured
L00425,C00271,BR08,SME Term Loan,2025-12-01,24,95100,10.21,583,Fair (580-669),0.22,,Retail,South West,0,Stage 1 (Performing),N,0.0291,0.45,1245,Unsecured
L00426,C02089,BR01,Overdraft,2026-05-24,12,2000,8.47,745,Excellent (740+),0.12,,Self-employed,London,0,Stage 1 (Performing),N,0.0019,0.78,3,Unsecured
L00427,C02195,BR02,Mortgage,2025-09-08,300,279100,5.55,649,Fair (580-669),4.07,83.4,Student,London,0,Stage 1 (Performing),N,0.037,0.18,1859,Property
L00428,C01445,BR05,Personal Loan,2024-09-07,24,7100,9.69,619,Fair (580-669),0.15,,Director,North East,0,Stage 1 (Performing),N,0.0212,0.45,68,Unsecured
L00429,C00193,BR07,Business Overdraft,2025-01-26,60,36300,8.45,746,Excellent (740+),0.05,,Technology,Scotland,0,Stage 1 (Performing),N,0.0025,0.78,71,Unsecured
L00430,C01647,BR04,SME Term Loan,2026-07-31,36,97400,9.47,632,Fair (580-669),0.97,,Retail,Midlands,0,Stage 1 (Performing),N,0.0169,0.45,741,Unsecured
L00431,C01265,BR08,Personal Loan,2025-09-08,12,7300,10.06,598,Fair (580-669),0.18,,Employee,South West,0,Stage 1 (Performing),N,0.0302,0.45,99,Unsecured
L00432,C01345,BR04,Personal Loan,2024-11-11,12,7700,9.12,681,Good (670-739),0.08,,Employee,Midlands,75,Stage 2 (Significant increase in risk),N,0.0075,0.45,91,Unsecured
L00433,C02534,BR05,Mortgage,2025-11-11,300,190800,5.25,684,Good (670-739),3.37,78.8,Employee,North East,0,Stage 1 (Performing),N,0.0165,0.18,567,Property
L00434,C00331,BR10,SME Term Loan,2024-09-10,36,42600,9.85,622,Fair (580-669),0.05,,Technology,Northern Ireland,0,Stage 1 (Performing),N,0.0145,0.45,278,Unsecured
L00435,C02513,BR03,Mortgage,2024-06-06,300,406800,5.16,708,Good (670-739),9.0,82.1,Property Investor,North West,0,Stage 1 (Performing),N,0.0275,0.18,2014,Property
L00436,C01883,BR09,SME Term Loan,2026-05-28,36,145600,11.39,475,Poor (300-579),0.05,,Professional Services,Wales,15,Stage 1 (Performing),N,0.2115,0.45,13857,Unsecured
L00437,C02862,BR01,Commercial Mortgage,2025-10-06,300,259300,5.71,616,Fair (580-669),0.51,50.4,Technology,London,0,Stage 1 (Performing),N,0.0188,0.18,877,Property
L00438,C01048,BR01,Commercial Mortgage,2024-08-31,300,399700,4.9,728,Good (670-739),0.09,55.9,Technology,London,0,Stage 1 (Performing),N,0.0026,0.18,187,Property
L00439,C01434,BR02,SME Term Loan,2025-05-05,36,200900,8.5,740,Excellent (740+),0.75,,Professional Services,London,0,Stage 1 (Performing),N,0.0026,0.45,235,Unsecured
L00440,C02385,BR02,Business Overdraft,2025-02-24,60,29900,10.2,562,Poor (300-579),0.05,,Import/Export,London,0,Stage 1 (Performing),N,0.0783,0.78,1826,Unsecured
L00441,C00326,BR07,SME Term Loan,2025-03-11,36,60700,9.7,580,Fair (580-669),0.09,,Professional Services,Scotland,0,Stage 1 (Performing),N,0.0293,0.45,800,Unsecured
L00442,C02630,BR02,Business Overdraft,2024-12-28,12,9600,11.3,417,Poor (300-579),0.05,,Money Services,London,150,Stage 3 (Credit-impaired),Y,0.4877,0.78,32867,Unsecured
L00443,C02065,BR09,Commercial Mortgage,2024-07-28,300,203500,4.32,799,Excellent (740+),0.65,56.9,Professional Services,Wales,0,Stage 1 (Performing),N,0.001,0.18,37,Property
L00444,C02403,BR01,Invoice Finance,2024-07-31,36,101600,10.22,557,Poor (300-579),0.2,,Retail,London,0,Stage 1 (Performing),N,0.0439,0.45,2007,Receivables
L00445,C02713,BR08,Overdraft,2025-08-05,12,2900,9.57,604,Fair (580-669),0.16,,Employee,South West,15,Stage 1 (Performing),N,0.0203,0.78,46,Unsecured
L00446,C00438,BR01,Mortgage,2025-03-07,300,123300,5.3,697,Good (670-739),4.99,63.2,Employee,London,0,Stage 1 (Performing),N,0.0233,0.18,517,Property
L00447,C01282,BR02,Overdraft,2025-06-27,60,3400,8.62,727,Good (670-739),0.05,,Employee,London,0,Stage 1 (Performing),N,0.0026,0.78,7,Unsecured
L00448,C00541,BR08,Business Overdraft,2025-06-26,36,21300,9.45,634,Fair (580-669),0.09,,Precious Metals,South West,0,Stage 1 (Performing),N,0.0163,0.78,271,Unsecured
L00449,C00132,BR07,Personal Loan,2024-09-14,24,8900,9.5,579,Poor (300-579),0.14,,Retired,Scotland,0,Stage 1 (Performing),N,0.0404,0.45,162,Unsecured
L00450,C01052,BR10,SME Term Loan,2024-06-27,24,75400,8.85,693,Good (670-739),0.06,,Construction,Northern Ireland,0,Stage 1 (Performing),N,0.0045,0.45,153,Unsecured
L00451,C02804,BR08,Commercial Mortgage,2025-09-14,300,341900,4.5,782,Excellent (740+),0.17,66.2,Crypto Assets,South West,0,Stage 1 (Performing),N,0.0011,0.18,68,Property
L00452,C01903,BR04,SME Term Loan,2024-11-19,60,199400,7.89,812,Excellent (740+),0.19,,Retail,Midlands,0,Stage 1 (Performing),N,0.0007,0.45,63,Unsecured
L00453,C01211,BR03,Personal Loan,2024-10-30,60,7900,8.88,681,Good (670-739),0.38,,Employee,North West,0,Stage 1 (Performing),N,0.0083,0.45,30,Unsecured
L00454,C01928,BR04,Mortgage,2025-12-23,300,184000,5.25,682,Good (670-739),5.04,85.5,Employee,Midlands,0,Stage 1 (Performing),N,0.0302,0.18,1000,Property
L00455,C02341,BR02,Commercial Mortgage,2026-06-24,300,759200,6.64,573,Poor (300-579),0.26,70.7,Professional Services,London,0,Stage 1 (Performing),N,0.0347,0.18,4742,Property
L00456,C00884,BR03,Personal Loan,2025-02-22,12,23400,8.76,711,Good (670-739),1.39,,Director,North West,0,Stage 1 (Performing),N,0.0072,0.45,76,Unsecured
L00457,C02730,BR09,SME Term Loan,2026-04-21,36,61500,9.12,686,Good (670-739),0.6,,Money Services,Wales,0,Stage 1 (Performing),N,0.0061,0.45,169,Unsecured
L00458,C00060,BR08,Commercial Mortgage,2026-05-17,300,1052000,6.53,535,Poor (300-579),1.91,53.4,Retail,South West,150,Stage 3 (Credit-impaired),Y,0.1591,0.18,271145,Property
L00459,C00363,BR06,Invoice Finance,2024-09-27,60,98000,8.27,764,Excellent (740+),0.1,,Hospitality,Scotland,0,Stage 1 (Performing),N,0.0014,0.45,62,Receivables
L00460,C02825,BR01,Credit Card,2026-02-19,24,2100,18.8,758,Excellent (740+),0.05,,Employee,London,0,Stage 1 (Performing),N,0.0021,0.78,3,Unsecured
L00461,C02605,BR07,Invoice Finance,2024-09-07,24,134000,8.5,740,Excellent (740+),1.41,,Charity,Scotland,0,Stage 1 (Performing),N,0.0033,0.45,199,Receivables
