bdd_id,customer_id,company_reg_number,incorporation_country,legal_structure,industry,sector_risk,cash_intensive,years_trading,ownership_layers,ubo_count,ubo_identified,ubo_verified,complex_structure_flag,companies_house_check,directors_screened,financial_statements_reviewed,expected_monthly_turnover_gbp,website_and_trading_address_verified,shell_company_indicators,bdd_outcome
BDD0180,C00573,15454819,United Kingdom,Private Limited,Crypto Assets,High,N,16,1,4,Y,N,N,Match,Y,Y,46600,Y,N,Satisfactory
BDD0181,C00574,10728919,UAE,Private Limited,Retail,Standard,Y,31,3,3,N,N,Y,N/A (non-UK),Y,Y,69500,Y,N,Referred to EDD
BDD0182,C00577,10951934,Germany,Foundation,Retail,Standard,Y,35,2,2,Y,Y,N,N/A (non-UK),Y,N,61600,Y,N,Satisfactory
BDD0183,C00588,12852386,India,Private Limited,Construction,Standard,N,2,1,4,Y,Y,N,N/A (non-UK),Y,Y,12900,Y,N,Satisfactory
BDD0184,C00589,15250011,United Kingdom,Private Limited,Retail,Standard,Y,36,3,1,N,N,Y,Match,Y,Y,42900,Y,N,Referred to EDD
BDD0185,C00592,12555598,United Kingdom,Private Limited,Retail,Standard,Y,14,3,1,Y,Y,Y,Match,Y,Y,79800,Y,Y,Rejected
BDD0186,C00595,12678721,United Kingdom,Private Limited,Precious Metals,High,Y,24,4,1,Y,Y,Y,Match,Y,Y,39400,Y,Y,Rejected
BDD0187,C00597,15483041,India,LLP,Technology,Standard,N,27,1,3,Y,Y,N,N/A (non-UK),Y,Y,123200,Y,N,Satisfactory
BDD0188,C00604,13619487,United Kingdom,Private Limited,Construction,Standard,N,15,1,1,Y,Y,N,Match,Y,Y,69100,Y,N,Satisfactory
BDD0189,C00607,15200677,United Kingdom,PLC,Real Estate,High,N,6,2,1,Y,N,N,Match,Y,Y,32200,N,N,Satisfactory
BDD0190,C00608,11888990,United Kingdom,Private Limited,Construction,Standard,N,8,3,3,Y,Y,Y,Match,Y,Y,165500,Y,N,Satisfactory
BDD0191,C00611,11024880,United Kingdom,Private Limited,Crypto Assets,High,N,33,1,3,Y,Y,N,Match,Y,Y,71700,Y,N,Satisfactory
BDD0192,C00613,14362560,United Kingdom,PLC,Technology,Standard,N,26,1,2,Y,Y,N,Match,Y,Y,109800,Y,N,Satisfactory
BDD0193,C00614,11512974,United Kingdom,LLP,Technology,Standard,N,15,2,4,Y,Y,N,Match,Y,Y,18100,N,N,Satisfactory
BDD0194,C00615,11074529,United Kingdom,Trust,Professional Services,Standard,N,39,1,2,Y,Y,N,Match,Y,Y,61400,Y,N,Satisfactory
BDD0195,C00620,13672418,United Kingdom,LLP,Professional Services,Standard,N,15,4,3,Y,Y,Y,Match,Y,Y,21200,Y,N,Satisfactory
BDD0196,C00624,14576575,United States,Private Limited,Professional Services,Standard,N,29,1,3,Y,Y,N,N/A (non-UK),Y,Y,76100,N,N,Satisfactory
BDD0197,C00643,15425363,Pakistan,Partnership,Precious Metals,High,Y,37,1,3,Y,Y,N,N/A (non-UK),Y,Y,11600,Y,N,Satisfactory
BDD0198,C00649,10856880,Russia,Private Limited,Hospitality,Standard,Y,14,2,2,Y,Y,N,N/A (non-UK),Y,N,41500,Y,N,Satisfactory
BDD0199,C00650,15314698,United Kingdom,Private Limited,Import/Export,High,N,5,3,3,N,N,Y,Match,Y,Y,365800,Y,N,Referred to EDD
BDD0200,C00658,11034019,Ireland,Partnership,Retail,Standard,Y,18,4,1,Y,Y,Y,N/A (non-UK),Y,Y,35900,Y,Y,Referred to EDD
BDD0201,C00661,14158812,United Kingdom,Partnership,Real Estate,High,N,17,1,3,Y,Y,N,Match,Y,Y,436500,Y,N,Satisfactory
BDD0202,C00665,10051423,United Kingdom,Foundation,Precious Metals,High,Y,21,3,4,Y,Y,Y,Match,Y,Y,339900,Y,N,Satisfactory
BDD0203,C00674,13111439,United Kingdom,Private Limited,Retail,Standard,Y,20,4,3,Y,Y,Y,Discrepancy,Y,N,38000,Y,Y,Rejected
BDD0204,C00676,15179143,United Kingdom,Partnership,Real Estate,High,N,24,2,1,Y,Y,N,Match,Y,Y,118700,Y,N,Satisfactory
BDD0205,C00679,11000866,United Kingdom,LLP,Professional Services,Standard,N,3,1,4,Y,Y,N,Match,Y,Y,12400,Y,N,Satisfactory
BDD0206,C00680,15065010,United Kingdom,Private Limited,Import/Export,High,N,34,2,3,Y,Y,N,Match,Y,Y,16000,Y,N,Satisfactory
BDD0207,C00682,10498659,United Kingdom,Private Limited,Technology,Standard,N,12,2,4,Y,Y,N,Match,Y,Y,37200,Y,N,Satisfactory
BDD0208,C00685,12345601,UAE,Private Limited,Hospitality,Standard,Y,31,3,3,Y,Y,Y,N/A (non-UK),Y,Y,8400,N,N,Satisfactory
BDD0209,C00687,11098332,United Kingdom,Private Limited,Retail,Standard,Y,21,2,3,Y,Y,N,Match,Y,Y,23500,Y,N,Satisfactory
BDD0210,C00689,10018837,UAE,Private Limited,Construction,Standard,N,13,4,4,Y,Y,Y,N/A (non-UK),Y,N,38100,Y,N,Satisfactory
BDD0211,C00699,11662489,United Kingdom,Trust,Construction,Standard,N,36,1,4,Y,Y,N,Match,Y,Y,24900,Y,N,Satisfactory
BDD0212,C00700,15598433,United Kingdom,Private Limited,Precious Metals,High,Y,11,3,2,Y,Y,Y,Match,Y,N,19100,Y,N,Satisfactory
BDD0213,C00701,15379795,United Kingdom,Partnership,Construction,Standard,N,18,3,3,N,N,Y,Match,Y,Y,266800,Y,N,Rejected
BDD0214,C00703,11028236,United States,Private Limited,Hospitality,Standard,Y,11,2,4,Y,Y,N,N/A (non-UK),Y,Y,47300,Y,N,Satisfactory
BDD0215,C00710,13302142,United Kingdom,Private Limited,Construction,Standard,N,22,2,4,Y,Y,N,Match,Y,Y,34900,Y,N,Satisfactory
BDD0216,C00713,10894449,Ireland,PLC,Construction,Standard,N,4,3,1,Y,Y,Y,N/A (non-UK),Y,N,138000,Y,N,Satisfactory
BDD0217,C00716,15416365,Pakistan,Partnership,Precious Metals,High,Y,27,1,4,Y,Y,N,N/A (non-UK),Y,Y,5300,Y,N,Satisfactory
BDD0218,C00717,11267072,United States,Private Limited,Technology,Standard,N,1,2,3,Y,Y,N,N/A (non-UK),Y,Y,128400,Y,N,Satisfactory
BDD0219,C00725,15313563,India,Partnership,Charity,Standard,N,5,4,1,N,N,Y,N/A (non-UK),Y,Y,118000,N,N,Referred to EDD
BDD0220,C00729,11543549,United Kingdom,Trust,Crypto Assets,High,N,39,1,3,Y,Y,N,Match,Y,Y,30800,N,N,Satisfactory
BDD0221,C00735,10862009,United Kingdom,Private Limited,Retail,Standard,Y,5,1,4,Y,Y,N,Match,Y,Y,69200,Y,N,Satisfactory
BDD0222,C00737,15587851,United Kingdom,Private Limited,Import/Export,High,N,12,4,4,N,N,Y,Match,Y,Y,6800,Y,N,Rejected
BDD0223,C00738,10832717,UAE,Private Limited,Technology,Standard,N,19,3,1,N,N,Y,N/A (non-UK),Y,Y,31500,Y,N,Referred to EDD
BDD0224,C00742,13768289,Germany,Private Limited,Import/Export,High,N,19,2,3,Y,Y,N,N/A (non-UK),Y,Y,211600,Y,N,Satisfactory
BDD0225,C00746,13790322,United Kingdom,Private Limited,Professional Services,Standard,N,24,4,1,Y,Y,Y,Match,Y,Y,35200,Y,Y,Referred to EDD
BDD0226,C00750,12046839,United Kingdom,Private Limited,Technology,Standard,N,3,2,3,Y,Y,N,Match,Y,Y,50200,Y,N,Satisfactory
BDD0227,C00753,14261862,Nigeria,Private Limited,Retail,Standard,Y,12,4,2,Y,Y,Y,N/A (non-UK),Y,Y,68300,Y,N,Satisfactory
BDD0228,C00754,14583441,United Kingdom,PLC,Import/Export,High,N,17,1,4,Y,N,N,Match,Y,Y,10200,Y,N,Satisfactory
BDD0229,C00757,13699817,United Kingdom,Private Limited,Hospitality,Standard,Y,3,2,1,Y,Y,N,Match,Y,N,253800,Y,N,Satisfactory
BDD0230,C00758,14637671,United Kingdom,Private Limited,Real Estate,High,N,0,2,2,Y,Y,N,Discrepancy,Y,Y,16300,N,N,Remediation Required
BDD0231,C00761,11649458,United Kingdom,Partnership,Technology,Standard,N,30,2,4,Y,Y,N,Match,Y,Y,41500,Y,N,Satisfactory
BDD0232,C00762,11478282,Pakistan,Private Limited,Construction,Standard,N,35,1,3,Y,Y,N,N/A (non-UK),Y,Y,34200,Y,N,Satisfactory
BDD0233,C00763,12961974,Russia,Private Limited,Real Estate,High,N,27,1,2,Y,Y,N,N/A (non-UK),Y,Y,16800,Y,N,Satisfactory
BDD0234,C00766,11046112,United Kingdom,Private Limited,Technology,Standard,N,38,1,3,Y,Y,N,Match,Y,Y,14200,Y,N,Satisfactory
BDD0235,C00767,10675369,United Kingdom,Private Limited,Real Estate,High,N,36,3,2,Y,Y,Y,Match,Y,Y,245400,Y,N,Satisfactory
BDD0236,C00768,10915389,United Kingdom,PLC,Professional Services,Standard,N,38,4,2,N,N,Y,Match,Y,N,11100,Y,N,Rejected
BDD0237,C00771,10175810,United Kingdom,LLP,Retail,Standard,Y,31,1,2,Y,Y,N,Discrepancy,Y,Y,71200,Y,N,Remediation Required
BDD0238,C00773,12138629,United Kingdom,Partnership,Professional Services,Standard,N,7,4,2,N,N,Y,Match,Y,N,128200,N,N,Referred to EDD
BDD0239,C00775,11755337,United Kingdom,Partnership,Technology,Standard,N,29,4,1,Y,Y,Y,Match,Y,Y,54300,Y,Y,Referred to EDD
BDD0240,C00776,10169306,United Kingdom,Private Limited,Construction,Standard,N,32,4,3,Y,Y,Y,Match,Y,Y,37100,Y,N,Satisfactory
BDD0241,C00783,14036012,United Kingdom,Private Limited,Crypto Assets,High,N,20,1,2,Y,Y,N,Match,Y,Y,352200,Y,N,Satisfactory
BDD0242,C00792,12645937,United Kingdom,Partnership,Real Estate,High,N,13,1,2,Y,N,N,Match,Y,N,45000,Y,N,Satisfactory
BDD0243,C00795,11806755,United Kingdom,Private Limited,Technology,Standard,N,37,1,1,Y,Y,N,Match,Y,Y,23300,Y,N,Satisfactory
BDD0244,C00796,11206901,United Kingdom,Private Limited,Professional Services,Standard,N,26,2,4,Y,Y,N,Match,Y,Y,110700,Y,N,Satisfactory
BDD0245,C00805,12877837,Ireland,Trust,Import/Export,High,N,27,1,1,Y,Y,N,N/A (non-UK),Y,Y,76800,Y,N,Satisfactory
BDD0246,C00811,14604211,United Kingdom,Private Limited,Professional Services,Standard,N,37,1,3,Y,Y,N,Discrepancy,Y,N,35800,Y,N,Remediation Required
BDD0247,C00812,10182219,United Kingdom,Private Limited,Import/Export,High,N,4,2,4,Y,Y,N,Match,Y,N,15200,Y,N,Satisfactory
BDD0248,C00813,11978600,Nigeria,Private Limited,Hospitality,Standard,Y,21,2,3,Y,Y,N,N/A (non-UK),Y,Y,46900,N,N,Satisfactory
BDD0249,C00814,12483587,United States,Private Limited,Hospitality,Standard,Y,31,1,4,Y,Y,N,N/A (non-UK),Y,Y,141600,Y,N,Satisfactory
BDD0250,C00815,13905975,United States,Private Limited,Charity,Standard,N,16,1,1,Y,Y,N,N/A (non-UK),Y,Y,51800,Y,N,Satisfactory
BDD0251,C00816,14976289,United Kingdom,Private Limited,Professional Services,Standard,N,8,1,2,Y,Y,N,Match,Y,Y,53200,Y,N,Satisfactory
BDD0252,C00822,14094354,United Kingdom,Private Limited,Real Estate,High,N,20,2,4,Y,N,N,Match,Y,Y,79000,Y,N,Satisfactory
BDD0253,C00828,13712468,Cyprus,Partnership,Retail,Standard,Y,32,1,1,Y,Y,Y,N/A (non-UK),Y,Y,31000,Y,N,Satisfactory
BDD0254,C00830,14772832,United Kingdom,Private Limited,Import/Export,High,N,24,1,4,Y,Y,N,Match,Y,Y,138000,Y,N,Satisfactory
BDD0255,C00834,13802173,United Kingdom,Private Limited,Professional Services,Standard,N,39,1,1,Y,Y,N,Match,Y,Y,12500,Y,N,Satisfactory
BDD0256,C00835,12851468,United Kingdom,LLP,Professional Services,Standard,N,21,1,3,Y,Y,N,Discrepancy,Y,N,39800,N,N,Remediation Required
BDD0257,C00837,14009205,United Kingdom,Private Limited,Crypto Assets,High,N,5,1,4,Y,Y,N,Discrepancy,Y,N,91800,Y,N,Remediation Required
BDD0258,C00839,12399239,India,Private Limited,Real Estate,High,N,5,1,1,Y,Y,N,N/A (non-UK),Y,Y,45100,Y,N,Satisfactory
BDD0259,C00842,15362113,United Kingdom,LLP,Retail,Standard,Y,3,1,4,Y,Y,N,Discrepancy,Y,Y,11800,Y,N,Remediation Required
BDD0260,C00847,11543181,United Kingdom,Private Limited,Professional Services,Standard,N,28,1,3,Y,Y,N,Match,Y,Y,69700,Y,N,Satisfactory
BDD0261,C00848,13840594,United Kingdom,Private Limited,Real Estate,High,N,31,1,3,Y,Y,N,Match,Y,Y,36400,Y,N,Satisfactory
BDD0262,C00849,10057750,United Kingdom,Private Limited,Real Estate,High,N,0,4,1,Y,Y,Y,Match,Y,Y,153200,N,N,Satisfactory
BDD0263,C00855,14362448,United Kingdom,Private Limited,Professional Services,Standard,N,31,2,1,Y,Y,N,Match,Y,Y,15100,N,N,Satisfactory
BDD0264,C00856,10944781,India,Trust,Real Estate,High,N,26,1,1,Y,N,N,N/A (non-UK),Y,Y,299800,Y,N,Satisfactory
BDD0265,C00857,13488655,India,Private Limited,Retail,Standard,Y,26,4,2,Y,Y,Y,N/A (non-UK),Y,N,155600,Y,N,Satisfactory
BDD0266,C00865,11332291,United Kingdom,Private Limited,Import/Export,High,N,16,2,2,Y,N,N,Match,Y,Y,50200,Y,N,Satisfactory
BDD0267,C00867,10206935,United Kingdom,Private Limited,Professional Services,Standard,N,18,2,3,Y,Y,N,Match,Y,N,90900,Y,N,Satisfactory
BDD0268,C00874,13949842,United Kingdom,Private Limited,Hospitality,Standard,Y,0,1,1,Y,Y,N,Match,Y,Y,8200,Y,N,Satisfactory
BDD0269,C00881,14118947,United Kingdom,Partnership,Charity,Standard,N,34,1,2,Y,Y,N,Match,Y,Y,162600,Y,N,Satisfactory
BDD0270,C00882,14746085,United Kingdom,Private Limited,Professional Services,Standard,N,28,1,4,Y,N,N,Match,Y,Y,228200,Y,N,Satisfactory
BDD0271,C00883,14564771,United Kingdom,Private Limited,Technology,Standard,N,26,2,4,Y,Y,N,Match,Y,N,45900,Y,N,Satisfactory
BDD0272,C00886,12752825,Pakistan,PLC,Construction,Standard,N,38,1,3,Y,Y,N,N/A (non-UK),Y,Y,4500,Y,N,Satisfactory
BDD0273,C00890,15581816,United Kingdom,Private Limited,Real Estate,High,N,34,1,3,Y,Y,N,Match,Y,Y,70200,Y,N,Satisfactory
BDD0274,C00892,14930631,Ireland,Foundation,Technology,Standard,N,8,4,3,Y,Y,Y,N/A (non-UK),Y,Y,6800,Y,N,Satisfactory
BDD0275,C00893,10330393,United Kingdom,PLC,Retail,Standard,Y,13,1,3,Y,Y,N,Match,Y,Y,262400,Y,N,Satisfactory
BDD0276,C00895,12242914,United Kingdom,Private Limited,Professional Services,Standard,N,11,4,4,N,N,Y,Match,Y,N,26800,Y,N,Rejected
BDD0277,C00899,14057588,United Kingdom,Private Limited,Professional Services,Standard,N,13,1,2,Y,Y,N,Discrepancy,Y,Y,107400,Y,N,Remediation Required
BDD0278,C00907,13925831,United Kingdom,Private Limited,Precious Metals,High,Y,4,3,2,N,N,Y,Match,Y,Y,95100,Y,N,Referred to EDD
BDD0279,C00909,15183488,United States,Private Limited,Import/Export,High,N,24,1,3,Y,Y,N,N/A (non-UK),Y,Y,3900,N,N,Satisfactory
BDD0280,C00914,13343058,Nigeria,Private Limited,Hospitality,Standard,Y,5,1,4,Y,Y,N,N/A (non-UK),Y,Y,138400,Y,N,Satisfactory
BDD0281,C00918,12463064,United Kingdom,Private Limited,Import/Export,High,N,27,2,3,Y,N,N,Match,Y,Y,6300,Y,N,Satisfactory
BDD0282,C00921,10901222,United Kingdom,Partnership,Retail,Standard,Y,38,2,3,Y,N,N,Match,Y,N,23500,Y,N,Satisfactory
BDD0283,C00922,15832910,United Kingdom,Partnership,Hospitality,Standard,Y,5,1,4,Y,N,N,Match,Y,N,37900,Y,N,Satisfactory
BDD0284,C00923,12772708,United Kingdom,Private Limited,Hospitality,Standard,Y,11,4,1,Y,Y,Y,Match,Y,Y,63700,Y,N,Satisfactory
BDD0285,C00927,14935499,United States,Private Limited,Retail,Standard,Y,6,3,4,N,N,Y,N/A (non-UK),Y,Y,101400,Y,Y,Rejected
BDD0286,C00929,15806024,India,Private Limited,Money Services,High,Y,31,1,3,Y,Y,N,N/A (non-UK),Y,Y,41000,Y,N,Satisfactory
BDD0287,C00932,14022671,United Kingdom,Foundation,Retail,Standard,Y,33,4,2,N,N,Y,Match,Y,Y,97700,Y,Y,Rejected
BDD0288,C00934,10899948,United Kingdom,Private Limited,Charity,Standard,N,25,1,3,Y,N,N,Match,Y,Y,36400,Y,N,Satisfactory
BDD0289,C00948,13158085,United Kingdom,LLP,Professional Services,Standard,N,22,4,3,Y,Y,Y,Match,Y,Y,16200,Y,N,Satisfactory
BDD0290,C00949,12434558,United Kingdom,Private Limited,Money Services,High,Y,20,1,3,Y,Y,N,Match,Y,N,33800,Y,N,Satisfactory
BDD0291,C00957,13672267,United Kingdom,Partnership,Import/Export,High,N,9,3,4,Y,Y,Y,Match,Y,Y,87100,Y,N,Satisfactory
BDD0292,C00960,11994566,France,Private Limited,Technology,Standard,N,24,4,2,Y,N,Y,N/A (non-UK),Y,N,12200,Y,Y,Rejected
BDD0293,C00961,10873506,United Kingdom,Private Limited,Professional Services,Standard,N,13,3,2,N,N,Y,Match,Y,N,9400,N,N,Rejected
BDD0294,C00966,14477326,United Kingdom,Private Limited,Technology,Standard,N,15,1,3,Y,Y,N,Match,Y,N,31800,Y,N,Satisfactory
BDD0295,C00971,15400344,United Kingdom,Foundation,Hospitality,Standard,Y,32,1,1,Y,Y,N,Match,Y,Y,25500,Y,N,Satisfactory
BDD0296,C00974,10231140,United Kingdom,Private Limited,Retail,Standard,Y,35,1,1,Y,N,N,Match,Y,Y,205800,Y,N,Satisfactory
BDD0297,C00975,11301563,United Kingdom,Private Limited,Real Estate,High,N,8,1,2,Y,N,N,Match,Y,Y,35900,Y,N,Satisfactory
BDD0298,C00982,12718529,United Kingdom,Private Limited,Precious Metals,High,Y,25,2,4,Y,Y,N,Match,Y,Y,142100,Y,N,Satisfactory
BDD0299,C00983,14287860,UAE,LLP,Import/Export,High,N,24,2,2,Y,N,Y,N/A (non-UK),Y,Y,143000,Y,N,Satisfactory
BDD0300,C00984,11587015,United Kingdom,Private Limited,Real Estate,High,N,37,1,3,Y,Y,N,Discrepancy,Y,Y,13000,Y,N,Remediation Required
BDD0301,C00985,13436677,United Kingdom,Private Limited,Crypto Assets,High,N,20,1,4,Y,Y,N,Match,Y,N,15200,Y,N,Satisfactory
BDD0302,C00986,11786633,Cyprus,Private Limited,Crypto Assets,High,N,16,1,3,Y,Y,Y,N/A (non-UK),Y,Y,61800,Y,N,Satisfactory
BDD0303,C00987,12134353,United Kingdom,Private Limited,Hospitality,Standard,Y,38,2,3,Y,Y,N,Match,Y,Y,107600,Y,N,Satisfactory
BDD0304,C00988,12443605,Ireland,PLC,Professional Services,Standard,N,37,1,3,Y,Y,N,N/A (non-UK),Y,Y,29600,Y,N,Satisfactory
BDD0305,C00998,12258695,United Kingdom,Private Limited,Crypto Assets,High,N,30,4,3,Y,Y,Y,Match,Y,Y,20000,Y,N,Satisfactory
BDD0306,C00999,11749942,United Kingdom,Private Limited,Retail,Standard,Y,37,2,4,Y,Y,N,Match,Y,Y,29800,Y,N,Satisfactory
BDD0307,C01003,10992557,United Kingdom,Trust,Retail,Standard,Y,28,2,2,Y,Y,N,Match,Y,Y,24500,Y,N,Satisfactory
BDD0308,C01004,13406457,UAE,LLP,Technology,Standard,N,13,1,1,N,N,Y,N/A (non-UK),Y,Y,40300,N,N,Referred to EDD
BDD0309,C01006,14633094,United States,Trust,Construction,Standard,N,30,4,4,Y,Y,Y,N/A (non-UK),Y,Y,39900,Y,N,Satisfactory
BDD0310,C01009,11723119,United Kingdom,Private Limited,Professional Services,Standard,N,39,2,2,Y,Y,N,Match,Y,Y,28100,Y,N,Satisfactory
BDD0311,C01014,11811298,United States,Trust,Construction,Standard,N,37,4,4,Y,Y,Y,N/A (non-UK),Y,Y,33100,Y,N,Satisfactory
BDD0312,C01015,15504052,Russia,Partnership,Crypto Assets,High,N,30,2,3,Y,Y,N,N/A (non-UK),Y,Y,26200,Y,N,Satisfactory
BDD0313,C01018,11821218,United Kingdom,Private Limited,Hospitality,Standard,Y,10,2,3,Y,N,N,Match,Y,Y,5200,Y,N,Satisfactory
BDD0314,C01020,12684535,United Kingdom,Private Limited,Technology,Standard,N,30,2,3,Y,Y,N,Match,Y,Y,37700,Y,N,Satisfactory
BDD0315,C01023,12052292,United Kingdom,Private Limited,Hospitality,Standard,Y,1,4,2,Y,Y,Y,Match,Y,Y,3200,Y,Y,Referred to EDD
BDD0316,C01030,10930505,United Kingdom,Partnership,Hospitality,Standard,Y,25,2,3,Y,Y,N,Match,Y,Y,26400,Y,N,Satisfactory
BDD0317,C01031,12272285,United Kingdom,LLP,Precious Metals,High,Y,11,1,2,Y,Y,N,Match,Y,Y,9900,Y,N,Satisfactory
BDD0318,C01034,11734774,United Kingdom,PLC,Retail,Standard,Y,6,2,4,Y,Y,N,Match,Y,Y,58200,N,N,Satisfactory
BDD0319,C01035,11971881,United Kingdom,Trust,Real Estate,High,N,36,1,3,Y,Y,N,Match,Y,Y,59300,Y,N,Satisfactory
BDD0320,C01042,14783740,United Kingdom,Private Limited,Professional Services,Standard,N,29,2,2,Y,Y,N,Match,Y,Y,107600,Y,N,Satisfactory
BDD0321,C01043,15397376,France,Private Limited,Hospitality,Standard,Y,27,2,2,Y,N,N,N/A (non-UK),Y,Y,8300,Y,N,Satisfactory
BDD0322,C01044,10653576,United Kingdom,Private Limited,Retail,Standard,Y,24,1,4,Y,Y,N,Match,Y,Y,12900,Y,N,Satisfactory
BDD0323,C01047,11043663,Russia,Trust,Import/Export,High,N,6,3,2,Y,Y,Y,N/A (non-UK),Y,Y,114300,Y,N,Satisfactory
BDD0324,C01048,12278330,United Kingdom,LLP,Technology,Standard,N,21,3,2,N,N,Y,Match,Y,N,254300,Y,Y,Rejected
BDD0325,C01050,13234019,United States,Private Limited,Hospitality,Standard,Y,13,1,1,Y,Y,N,N/A (non-UK),Y,Y,114200,Y,N,Satisfactory
BDD0326,C01052,15692618,India,Foundation,Construction,Standard,N,39,2,3,Y,Y,N,N/A (non-UK),Y,Y,85600,N,N,Satisfactory
BDD0327,C01060,14970160,United Kingdom,Private Limited,Real Estate,High,N,24,1,1,Y,Y,N,Match,Y,Y,96800,Y,N,Satisfactory
BDD0328,C01063,10007057,Germany,Private Limited,Precious Metals,High,Y,34,2,2,Y,Y,N,N/A (non-UK),Y,Y,38100,Y,N,Satisfactory
BDD0329,C01066,14236218,United Kingdom,Private Limited,Hospitality,Standard,Y,6,4,4,Y,Y,Y,Match,Y,Y,61300,Y,N,Satisfactory
BDD0330,C01067,15827483,India,Private Limited,Hospitality,Standard,Y,11,2,2,Y,Y,N,N/A (non-UK),Y,Y,47100,Y,N,Satisfactory
BDD0331,C01069,11084931,United Kingdom,Trust,Real Estate,High,N,23,1,1,Y,Y,N,Match,Y,Y,37100,Y,N,Satisfactory
BDD0332,C01072,12154498,Cyprus,Private Limited,Professional Services,Standard,N,38,1,4,N,N,Y,N/A (non-UK),Y,Y,12800,N,N,Rejected
BDD0333,C01074,11551873,United Kingdom,LLP,Technology,Standard,N,2,1,1,Y,Y,N,Match,Y,Y,45400,Y,N,Satisfactory
BDD0334,C01076,11266393,United Kingdom,Private Limited,Professional Services,Standard,N,4,3,3,N,N,Y,Match,Y,Y,158800,Y,Y,Referred to EDD
BDD0335,C01081,12391861,United Kingdom,Private Limited,Retail,Standard,Y,29,4,1,Y,Y,Y,Match,Y,Y,323800,Y,N,Satisfactory
BDD0336,C01086,14953014,United Kingdom,Trust,Precious Metals,High,Y,4,1,3,Y,Y,N,Match,Y,Y,48200,Y,N,Satisfactory
BDD0337,C01088,10454153,United Kingdom,PLC,Import/Export,High,N,12,1,4,Y,Y,N,Match,Y,Y,74800,N,N,Satisfactory
BDD0338,C01093,12815585,United Kingdom,Trust,Technology,Standard,N,26,2,3,Y,Y,N,Discrepancy,Y,Y,8800,N,N,Remediation Required
BDD0339,C01094,15479706,United Kingdom,Private Limited,Professional Services,Standard,N,17,3,1,Y,Y,Y,Match,Y,N,33200,Y,N,Satisfactory
BDD0340,C01095,10633845,France,Private Limited,Professional Services,Standard,N,30,4,1,N,N,Y,N/A (non-UK),Y,N,28100,Y,N,Rejected
BDD0341,C01100,14642561,United Kingdom,Private Limited,Construction,Standard,N,0,4,1,Y,N,Y,Match,Y,N,5900,Y,N,Satisfactory
BDD0342,C01103,14000709,India,Private Limited,Import/Export,High,N,25,2,2,Y,N,N,N/A (non-UK),Y,Y,65800,N,N,Satisfactory
BDD0343,C01104,11228160,United Kingdom,Private Limited,Hospitality,Standard,Y,25,2,4,Y,N,N,Match,Y,Y,39300,Y,N,Satisfactory
BDD0344,C01111,14668256,United Kingdom,Private Limited,Money Services,High,Y,10,1,1,Y,Y,N,Match,Y,Y,47300,Y,N,Satisfactory
BDD0345,C01112,11333847,India,Private Limited,Construction,Standard,N,27,1,3,Y,N,N,N/A (non-UK),Y,Y,65600,Y,N,Satisfactory
BDD0346,C01123,12705669,Hong Kong,Private Limited,Import/Export,High,N,17,4,3,Y,Y,Y,N/A (non-UK),Y,Y,60100,Y,N,Satisfactory
BDD0347,C01126,15388586,Panama,Private Limited,Hospitality,Standard,Y,34,1,3,Y,Y,Y,N/A (non-UK),Y,Y,15100,N,N,Satisfactory
BDD0348,C01129,14286878,UAE,Private Limited,Technology,Standard,N,30,2,4,Y,Y,Y,N/A (non-UK),Y,Y,89800,Y,Y,Rejected
BDD0349,C01141,12926944,United Kingdom,Private Limited,Retail,Standard,Y,29,1,3,Y,Y,N,Match,Y,Y,101800,Y,N,Satisfactory
BDD0350,C01149,10642853,Ireland,Foundation,Precious Metals,High,Y,20,1,1,Y,Y,N,N/A (non-UK),Y,Y,33900,Y,N,Satisfactory
BDD0351,C01150,10595915,United Kingdom,Private Limited,Professional Services,Standard,N,27,3,4,N,N,Y,Match,Y,Y,23100,Y,N,Referred to EDD
BDD0352,C01156,10191148,United Kingdom,Private Limited,Technology,Standard,N,5,2,2,Y,Y,N,Match,Y,Y,17700,Y,N,Satisfactory
BDD0353,C01157,10365165,India,Private Limited,Hospitality,Standard,Y,16,1,2,Y,Y,N,N/A (non-UK),Y,N,22400,Y,N,Satisfactory
BDD0354,C01158,11313742,United Kingdom,Private Limited,Hospitality,Standard,Y,14,1,4,Y,Y,N,Match,Y,Y,45200,Y,N,Satisfactory
BDD0355,C01160,13067857,United Kingdom,Partnership,Money Services,High,Y,2,2,4,Y,Y,N,Match,Y,Y,142600,Y,N,Satisfactory
BDD0356,C01164,15885056,India,PLC,Retail,Standard,Y,32,1,1,Y,Y,N,N/A (non-UK),Y,Y,140500,Y,N,Satisfactory
BDD0357,C01166,15073439,United Kingdom,Private Limited,Professional Services,Standard,N,25,3,2,Y,Y,Y,Match,Y,Y,155900,Y,N,Satisfactory
BDD0358,C01168,11052599,United Kingdom,Private Limited,Retail,Standard,Y,13,2,2,Y,Y,N,Discrepancy,Y,Y,31800,Y,N,Remediation Required
BDD0359,C01171,15195143,United Kingdom,PLC,Charity,Standard,N,0,2,4,Y,Y,N,Match,Y,Y,85900,Y,N,Satisfactory
BDD0360,C01179,15518234,United Kingdom,Private Limited,Charity,Standard,N,38,3,1,N,N,Y,Match,Y,Y,128900,Y,Y,Rejected
