month,branch_id,department,cost_category,budget_gbp,actual_gbp,variance_gbp
2025-05-01,BR03,AML & Financial Crime,Outsourcing,7560,9350,1790
2025-05-01,BR03,AML & Financial Crime,Training,2160,2590,430
2025-05-01,BR03,AML & Financial Crime,Other,3240,3940,700
2025-05-01,BR03,Payments Ops,Staff,41580,44330,2750
2025-05-01,BR03,Payments Ops,Technology & Systems,11340,12420,1080
2025-05-01,BR03,Payments Ops,Screening & Data Vendors,4540,5260,720
2025-05-01,BR03,Payments Ops,Premises,9070,10400,1330
2025-05-01,BR03,Payments Ops,Outsourcing,5290,5830,540
2025-05-01,BR03,Payments Ops,Training,1510,1680,170
2025-05-01,BR03,Payments Ops,Other,2270,2410,140
2025-05-01,BR03,IT & Technology,Staff,71280,75490,4210
2025-05-01,BR03,IT & Technology,Technology & Systems,19440,22810,3370
2025-05-01,BR03,IT & Technology,Screening & Data Vendors,7780,8030,250
2025-05-01,BR03,IT & Technology,Premises,15550,17720,2170
2025-05-01,BR03,IT & Technology,Outsourcing,9070,9670,600
2025-05-01,BR03,IT & Technology,Training,2590,2740,150
2025-05-01,BR03,IT & Technology,Other,3890,4180,290
2025-05-01,BR03,Compliance,Staff,35640,36760,1120
2025-05-01,BR03,Compliance,Technology & Systems,9720,10680,960
2025-05-01,BR03,Compliance,Screening & Data Vendors,3890,4290,400
2025-05-01,BR03,Compliance,Premises,7780,8910,1130
2025-05-01,BR03,Compliance,Outsourcing,4540,5100,560
2025-05-01,BR03,Compliance,Training,1300,1440,140
2025-05-01,BR03,Compliance,Other,1940,2180,240
2025-06-01,BR03,Retail Banking Ops,Staff,118800,125290,6490
2025-06-01,BR03,Retail Banking Ops,Technology & Systems,32400,33750,1350
2025-06-01,BR03,Retail Banking Ops,Screening & Data Vendors,12960,12410,-550
2025-06-01,BR03,Retail Banking Ops,Premises,25920,28140,2220
2025-06-01,BR03,Retail Banking Ops,Outsourcing,15120,17480,2360
2025-06-01,BR03,Retail Banking Ops,Training,4320,4440,120
2025-06-01,BR03,Retail Banking Ops,Other,6480,6810,330
2025-06-01,BR03,KYC & Onboarding,Staff,53460,60900,7440
2025-06-01,BR03,KYC & Onboarding,Technology & Systems,14580,18130,3550
2025-06-01,BR03,KYC & Onboarding,Screening & Data Vendors,5830,6900,1070
2025-06-01,BR03,KYC & Onboarding,Premises,11660,14120,2460
2025-06-01,BR03,KYC & Onboarding,Outsourcing,6800,8300,1500
2025-06-01,BR03,KYC & Onboarding,Training,1940,2090,150
2025-06-01,BR03,KYC & Onboarding,Other,2920,3600,680
2025-06-01,BR03,AML & Financial Crime,Staff,59400,73140,13740
2025-06-01,BR03,AML & Financial Crime,Technology & Systems,16200,18650,2450
2025-06-01,BR03,AML & Financial Crime,Screening & Data Vendors,6480,7550,1070
2025-06-01,BR03,AML & Financial Crime,Premises,12960,14550,1590
2025-06-01,BR03,AML & Financial Crime,Outsourcing,7560,9340,1780
2025-06-01,BR03,AML & Financial Crime,Training,2160,2850,690
2025-06-01,BR03,AML & Financial Crime,Other,3240,3770,530
2025-06-01,BR03,Payments Ops,Staff,41580,44260,2680
2025-06-01,BR03,Payments Ops,Technology & Systems,11340,12290,950
2025-06-01,BR03,Payments Ops,Screening & Data Vendors,4540,4790,250
2025-06-01,BR03,Payments Ops,Premises,9070,9200,130
2025-06-01,BR03,Payments Ops,Outsourcing,5290,5640,350
2025-06-01,BR03,Payments Ops,Training,1510,1580,70
2025-06-01,BR03,Payments Ops,Other,2270,2670,400
2025-06-01,BR03,IT & Technology,Staff,71280,76820,5540
2025-06-01,BR03,IT & Technology,Technology & Systems,19440,22030,2590
2025-06-01,BR03,IT & Technology,Screening & Data Vendors,7780,7950,170
2025-06-01,BR03,IT & Technology,Premises,15550,17010,1460
2025-06-01,BR03,IT & Technology,Outsourcing,9070,10230,1160
2025-06-01,BR03,IT & Technology,Training,2590,3120,530
2025-06-01,BR03,IT & Technology,Other,3890,4470,580
2025-06-01,BR03,Compliance,Staff,35640,39200,3560
2025-06-01,BR03,Compliance,Technology & Systems,9720,10550,830
2025-06-01,BR03,Compliance,Screening & Data Vendors,3890,4270,380
2025-06-01,BR03,Compliance,Premises,7780,8180,400
2025-06-01,BR03,Compliance,Outsourcing,4540,5340,800
2025-06-01,BR03,Compliance,Training,1300,1450,150
2025-06-01,BR03,Compliance,Other,1940,2150,210
2025-07-01,BR03,Retail Banking Ops,Staff,118800,128100,9300
2025-07-01,BR03,Retail Banking Ops,Technology & Systems,32400,33580,1180
2025-07-01,BR03,Retail Banking Ops,Screening & Data Vendors,12960,14430,1470
2025-07-01,BR03,Retail Banking Ops,Premises,25920,27270,1350
2025-07-01,BR03,Retail Banking Ops,Outsourcing,15120,17420,2300
2025-07-01,BR03,Retail Banking Ops,Training,4320,4330,10
2025-07-01,BR03,Retail Banking Ops,Other,6480,7290,810
2025-07-01,BR03,KYC & Onboarding,Staff,53460,65730,12270
2025-07-01,BR03,KYC & Onboarding,Technology & Systems,14580,18420,3840
2025-07-01,BR03,KYC & Onboarding,Screening & Data Vendors,5830,7760,1930
2025-07-01,BR03,KYC & Onboarding,Premises,11660,13990,2330
2025-07-01,BR03,KYC & Onboarding,Outsourcing,6800,8000,1200
2025-07-01,BR03,KYC & Onboarding,Training,1940,2190,250
2025-07-01,BR03,KYC & Onboarding,Other,2920,3430,510
2025-07-01,BR03,AML & Financial Crime,Staff,59400,67560,8160
2025-07-01,BR03,AML & Financial Crime,Technology & Systems,16200,18820,2620
2025-07-01,BR03,AML & Financial Crime,Screening & Data Vendors,6480,7590,1110
2025-07-01,BR03,AML & Financial Crime,Premises,12960,14910,1950
2025-07-01,BR03,AML & Financial Crime,Outsourcing,7560,8220,660
2025-07-01,BR03,AML & Financial Crime,Training,2160,2560,400
2025-07-01,BR03,AML & Financial Crime,Other,3240,3670,430
2025-07-01,BR03,Payments Ops,Staff,41580,47190,5610
2025-07-01,BR03,Payments Ops,Technology & Systems,11340,11070,-270
2025-07-01,BR03,Payments Ops,Screening & Data Vendors,4540,5070,530
2025-07-01,BR03,Payments Ops,Premises,9070,10170,1100
2025-07-01,BR03,Payments Ops,Outsourcing,5290,5980,690
2025-07-01,BR03,Payments Ops,Training,1510,1700,190
2025-07-01,BR03,Payments Ops,Other,2270,2480,210
2025-07-01,BR03,IT & Technology,Staff,71280,74580,3300
2025-07-01,BR03,IT & Technology,Technology & Systems,19440,20150,710
2025-07-01,BR03,IT & Technology,Screening & Data Vendors,7780,8110,330
2025-07-01,BR03,IT & Technology,Premises,15550,16230,680
2025-07-01,BR03,IT & Technology,Outsourcing,9070,10650,1580
2025-07-01,BR03,IT & Technology,Training,2590,2750,160
2025-07-01,BR03,IT & Technology,Other,3890,4340,450
2025-07-01,BR03,Compliance,Staff,35640,37790,2150
2025-07-01,BR03,Compliance,Technology & Systems,9720,8900,-820
2025-07-01,BR03,Compliance,Screening & Data Vendors,3890,4020,130
2025-07-01,BR03,Compliance,Premises,7780,8580,800
2025-07-01,BR03,Compliance,Outsourcing,4540,5060,520
2025-07-01,BR03,Compliance,Training,1300,1360,60
2025-07-01,BR03,Compliance,Other,1940,1860,-80
2025-08-01,BR03,Retail Banking Ops,Staff,118800,123680,4880
2025-08-01,BR03,Retail Banking Ops,Technology & Systems,32400,36120,3720
2025-08-01,BR03,Retail Banking Ops,Screening & Data Vendors,12960,14350,1390
2025-08-01,BR03,Retail Banking Ops,Premises,25920,29530,3610
2025-08-01,BR03,Retail Banking Ops,Outsourcing,15120,16310,1190
2025-08-01,BR03,Retail Banking Ops,Training,4320,4270,-50
2025-08-01,BR03,Retail Banking Ops,Other,6480,6920,440
2025-08-01,BR03,KYC & Onboarding,Staff,53460,65820,12360
2025-08-01,BR03,KYC & Onboarding,Technology & Systems,14580,15860,1280
2025-08-01,BR03,KYC & Onboarding,Screening & Data Vendors,5830,6840,1010
2025-08-01,BR03,KYC & Onboarding,Premises,11660,14230,2570
2025-08-01,BR03,KYC & Onboarding,Outsourcing,6800,8270,1470
2025-08-01,BR03,KYC & Onboarding,Training,1940,2380,440
2025-08-01,BR03,KYC & Onboarding,Other,2920,3330,410
2025-08-01,BR03,AML & Financial Crime,Staff,59400,72780,13380
2025-08-01,BR03,AML & Financial Crime,Technology & Systems,16200,19990,3790
2025-08-01,BR03,AML & Financial Crime,Screening & Data Vendors,6480,7740,1260
2025-08-01,BR03,AML & Financial Crime,Premises,12960,15280,2320
2025-08-01,BR03,AML & Financial Crime,Outsourcing,7560,9400,1840
2025-08-01,BR03,AML & Financial Crime,Training,2160,2880,720
2025-08-01,BR03,AML & Financial Crime,Other,3240,4160,920
2025-08-01,BR03,Payments Ops,Staff,41580,46110,4530
2025-08-01,BR03,Payments Ops,Technology & Systems,11340,11350,10
2025-08-01,BR03,Payments Ops,Screening & Data Vendors,4540,5150,610
2025-08-01,BR03,Payments Ops,Premises,9070,9500,430
2025-08-01,BR03,Payments Ops,Outsourcing,5290,5830,540
2025-08-01,BR03,Payments Ops,Training,1510,1590,80
2025-08-01,BR03,Payments Ops,Other,2270,2420,150
2025-08-01,BR03,IT & Technology,Staff,71280,76230,4950
2025-08-01,BR03,IT & Technology,Technology & Systems,19440,21660,2220
2025-08-01,BR03,IT & Technology,Screening & Data Vendors,7780,8890,1110
2025-08-01,BR03,IT & Technology,Premises,15550,16860,1310
2025-08-01,BR03,IT & Technology,Outsourcing,9070,9880,810
2025-08-01,BR03,IT & Technology,Training,2590,2930,340
2025-08-01,BR03,IT & Technology,Other,3890,4260,370
2025-08-01,BR03,Compliance,Staff,35640,36600,960
2025-08-01,BR03,Compliance,Technology & Systems,9720,10620,900
2025-08-01,BR03,Compliance,Screening & Data Vendors,3890,4410,520
2025-08-01,BR03,Compliance,Premises,7780,8420,640
2025-08-01,BR03,Compliance,Outsourcing,4540,4500,-40
2025-08-01,BR03,Compliance,Training,1300,1450,150
2025-08-01,BR03,Compliance,Other,1940,2190,250
2025-09-01,BR03,Retail Banking Ops,Staff,118800,131820,13020
2025-09-01,BR03,Retail Banking Ops,Technology & Systems,32400,36090,3690
2025-09-01,BR03,Retail Banking Ops,Screening & Data Vendors,12960,14280,1320
2025-09-01,BR03,Retail Banking Ops,Premises,25920,28150,2230
2025-09-01,BR03,Retail Banking Ops,Outsourcing,15120,15360,240
2025-09-01,BR03,Retail Banking Ops,Training,4320,4690,370
2025-09-01,BR03,Retail Banking Ops,Other,6480,6590,110
2025-09-01,BR03,KYC & Onboarding,Staff,53460,70820,17360
2025-09-01,BR03,KYC & Onboarding,Technology & Systems,14580,17710,3130
2025-09-01,BR03,KYC & Onboarding,Screening & Data Vendors,5830,6730,900
2025-09-01,BR03,KYC & Onboarding,Premises,11660,14050,2390
2025-09-01,BR03,KYC & Onboarding,Outsourcing,6800,8030,1230
2025-09-01,BR03,KYC & Onboarding,Training,1940,2200,260
2025-09-01,BR03,KYC & Onboarding,Other,2920,3640,720
2025-09-01,BR03,AML & Financial Crime,Staff,59400,67710,8310
2025-09-01,BR03,AML & Financial Crime,Technology & Systems,16200,18310,2110
2025-09-01,BR03,AML & Financial Crime,Screening & Data Vendors,6480,7960,1480
2025-09-01,BR03,AML & Financial Crime,Premises,12960,15650,2690
2025-09-01,BR03,AML & Financial Crime,Outsourcing,7560,9240,1680
2025-09-01,BR03,AML & Financial Crime,Training,2160,2710,550
2025-09-01,BR03,AML & Financial Crime,Other,3240,3970,730
2025-09-01,BR03,Payments Ops,Staff,41580,43590,2010
2025-09-01,BR03,Payments Ops,Technology & Systems,11340,13130,1790
2025-09-01,BR03,Payments Ops,Screening & Data Vendors,4540,4830,290
2025-09-01,BR03,Payments Ops,Premises,9070,10010,940
2025-09-01,BR03,Payments Ops,Outsourcing,5290,5700,410
2025-09-01,BR03,Payments Ops,Training,1510,1690,180
2025-09-01,BR03,Payments Ops,Other,2270,2440,170
2025-09-01,BR03,IT & Technology,Staff,71280,72530,1250
2025-09-01,BR03,IT & Technology,Technology & Systems,19440,22730,3290
2025-09-01,BR03,IT & Technology,Screening & Data Vendors,7780,8360,580
2025-09-01,BR03,IT & Technology,Premises,15550,16610,1060
2025-09-01,BR03,IT & Technology,Outsourcing,9070,9420,350
2025-09-01,BR03,IT & Technology,Training,2590,2690,100
2025-09-01,BR03,IT & Technology,Other,3890,4150,260
2025-09-01,BR03,Compliance,Staff,35640,41050,5410
2025-09-01,BR03,Compliance,Technology & Systems,9720,11090,1370
2025-09-01,BR03,Compliance,Screening & Data Vendors,3890,4190,300
2025-09-01,BR03,Compliance,Premises,7780,8190,410
2025-09-01,BR03,Compliance,Outsourcing,4540,5480,940
2025-09-01,BR03,Compliance,Training,1300,1440,140
2025-09-01,BR03,Compliance,Other,1940,2310,370
2025-10-01,BR03,Retail Banking Ops,Staff,118800,135290,16490
2025-10-01,BR03,Retail Banking Ops,Technology & Systems,32400,35310,2910
2025-10-01,BR03,Retail Banking Ops,Screening & Data Vendors,12960,14560,1600
2025-10-01,BR03,Retail Banking Ops,Premises,25920,27230,1310
2025-10-01,BR03,Retail Banking Ops,Outsourcing,15120,18100,2980
2025-10-01,BR03,Retail Banking Ops,Training,4320,4720,400
2025-10-01,BR03,Retail Banking Ops,Other,6480,6590,110
2025-10-01,BR03,KYC & Onboarding,Staff,53460,68260,14800
2025-10-01,BR03,KYC & Onboarding,Technology & Systems,14580,17750,3170
2025-10-01,BR03,KYC & Onboarding,Screening & Data Vendors,5830,7350,1520
2025-10-01,BR03,KYC & Onboarding,Premises,11660,14350,2690
2025-10-01,BR03,KYC & Onboarding,Outsourcing,6800,7940,1140
2025-10-01,BR03,KYC & Onboarding,Training,1940,2330,390
2025-10-01,BR03,KYC & Onboarding,Other,2920,3600,680
2025-10-01,BR03,AML & Financial Crime,Staff,59400,72040,12640
2025-10-01,BR03,AML & Financial Crime,Technology & Systems,16200,20390,4190
2025-10-01,BR03,AML & Financial Crime,Screening & Data Vendors,6480,7790,1310
2025-10-01,BR03,AML & Financial Crime,Premises,12960,16010,3050
2025-10-01,BR03,AML & Financial Crime,Outsourcing,7560,9190,1630
2025-10-01,BR03,AML & Financial Crime,Training,2160,2700,540
2025-10-01,BR03,AML & Financial Crime,Other,3240,4320,1080
2025-10-01,BR03,Payments Ops,Staff,41580,46350,4770
2025-10-01,BR03,Payments Ops,Technology & Systems,11340,11900,560
2025-10-01,BR03,Payments Ops,Screening & Data Vendors,4540,4850,310
2025-10-01,BR03,Payments Ops,Premises,9070,9960,890
2025-10-01,BR03,Payments Ops,Outsourcing,5290,5470,180
2025-10-01,BR03,Payments Ops,Training,1510,1730,220
2025-10-01,BR03,Payments Ops,Other,2270,2490,220
2025-10-01,BR03,IT & Technology,Staff,71280,77850,6570
2025-10-01,BR03,IT & Technology,Technology & Systems,19440,21490,2050
2025-10-01,BR03,IT & Technology,Screening & Data Vendors,7780,8710,930
2025-10-01,BR03,IT & Technology,Premises,15550,16990,1440
2025-10-01,BR03,IT & Technology,Outsourcing,9070,9510,440
2025-10-01,BR03,IT & Technology,Training,2590,2850,260
2025-10-01,BR03,IT & Technology,Other,3890,4010,120
2025-10-01,BR03,Compliance,Staff,35640,37440,1800
2025-10-01,BR03,Compliance,Technology & Systems,9720,8940,-780
2025-10-01,BR03,Compliance,Screening & Data Vendors,3890,3950,60
2025-10-01,BR03,Compliance,Premises,7780,8190,410
2025-10-01,BR03,Compliance,Outsourcing,4540,4960,420
2025-10-01,BR03,Compliance,Training,1300,1510,210
2025-10-01,BR03,Compliance,Other,1940,1950,10
2025-11-01,BR03,Retail Banking Ops,Staff,118800,132570,13770
2025-11-01,BR03,Retail Banking Ops,Technology & Systems,32400,32810,410
2025-11-01,BR03,Retail Banking Ops,Screening & Data Vendors,12960,13130,170
2025-11-01,BR03,Retail Banking Ops,Premises,25920,30240,4320
2025-11-01,BR03,Retail Banking Ops,Outsourcing,15120,16980,1860
2025-11-01,BR03,Retail Banking Ops,Training,4320,5040,720
2025-11-01,BR03,Retail Banking Ops,Other,6480,7440,960
2025-11-01,BR03,KYC & Onboarding,Staff,53460,60800,7340
2025-11-01,BR03,KYC & Onboarding,Technology & Systems,14580,18350,3770
2025-11-01,BR03,KYC & Onboarding,Screening & Data Vendors,5830,7380,1550
2025-11-01,BR03,KYC & Onboarding,Premises,11660,13850,2190
2025-11-01,BR03,KYC & Onboarding,Outsourcing,6800,8410,1610
2025-11-01,BR03,KYC & Onboarding,Training,1940,2500,560
2025-11-01,BR03,KYC & Onboarding,Other,2920,3840,920
2025-11-01,BR03,AML & Financial Crime,Staff,59400,74490,15090
2025-11-01,BR03,AML & Financial Crime,Technology & Systems,16200,19570,3370
2025-11-01,BR03,AML & Financial Crime,Screening & Data Vendors,6480,7880,1400
2025-11-01,BR03,AML & Financial Crime,Premises,12960,16120,3160
2025-11-01,BR03,AML & Financial Crime,Outsourcing,7560,8590,1030
2025-11-01,BR03,AML & Financial Crime,Training,2160,2680,520
2025-11-01,BR03,AML & Financial Crime,Other,3240,3810,570
2025-11-01,BR03,Payments Ops,Staff,41580,46420,4840
2025-11-01,BR03,Payments Ops,Technology & Systems,11340,11680,340
2025-11-01,BR03,Payments Ops,Screening & Data Vendors,4540,4850,310
2025-11-01,BR03,Payments Ops,Premises,9070,9590,520
2025-11-01,BR03,Payments Ops,Outsourcing,5290,5160,-130
2025-11-01,BR03,Payments Ops,Training,1510,1600,90
2025-11-01,BR03,Payments Ops,Other,2270,2500,230
2025-11-01,BR03,IT & Technology,Staff,71280,78460,7180
2025-11-01,BR03,IT & Technology,Technology & Systems,19440,20580,1140
2025-11-01,BR03,IT & Technology,Screening & Data Vendors,7780,7990,210
2025-11-01,BR03,IT & Technology,Premises,15550,17090,1540
2025-11-01,BR03,IT & Technology,Outsourcing,9070,9310,240
2025-11-01,BR03,IT & Technology,Training,2590,2770,180
2025-11-01,BR03,IT & Technology,Other,3890,3970,80
2025-11-01,BR03,Compliance,Staff,35640,38640,3000
2025-11-01,BR03,Compliance,Technology & Systems,9720,11480,1760
2025-11-01,BR03,Compliance,Screening & Data Vendors,3890,4120,230
2025-11-01,BR03,Compliance,Premises,7780,8800,1020
2025-11-01,BR03,Compliance,Outsourcing,4540,4780,240
2025-11-01,BR03,Compliance,Training,1300,1470,170
2025-11-01,BR03,Compliance,Other,1940,2150,210
2025-12-01,BR03,Retail Banking Ops,Staff,118800,133730,14930
2025-12-01,BR03,Retail Banking Ops,Technology & Systems,32400,37390,4990
2025-12-01,BR03,Retail Banking Ops,Screening & Data Vendors,12960,13470,510
2025-12-01,BR03,Retail Banking Ops,Premises,25920,28180,2260
2025-12-01,BR03,Retail Banking Ops,Outsourcing,15120,15970,850
2025-12-01,BR03,Retail Banking Ops,Training,4320,4830,510
2025-12-01,BR03,Retail Banking Ops,Other,6480,7350,870
2025-12-01,BR03,KYC & Onboarding,Staff,53460,63330,9870
2025-12-01,BR03,KYC & Onboarding,Technology & Systems,14580,18110,3530
2025-12-01,BR03,KYC & Onboarding,Screening & Data Vendors,5830,7000,1170
2025-12-01,BR03,KYC & Onboarding,Premises,11660,13040,1380
2025-12-01,BR03,KYC & Onboarding,Outsourcing,6800,8300,1500
2025-12-01,BR03,KYC & Onboarding,Training,1940,2500,560
2025-12-01,BR03,KYC & Onboarding,Other,2920,3400,480
2025-12-01,BR03,AML & Financial Crime,Staff,59400,64860,5460
2025-12-01,BR03,AML & Financial Crime,Technology & Systems,16200,19940,3740
2025-12-01,BR03,AML & Financial Crime,Screening & Data Vendors,6480,7740,1260
2025-12-01,BR03,AML & Financial Crime,Premises,12960,15630,2670
2025-12-01,BR03,AML & Financial Crime,Outsourcing,7560,8880,1320
2025-12-01,BR03,AML & Financial Crime,Training,2160,2880,720
2025-12-01,BR03,AML & Financial Crime,Other,3240,3910,670
2025-12-01,BR03,Payments Ops,Staff,41580,47560,5980
2025-12-01,BR03,Payments Ops,Technology & Systems,11340,12660,1320
2025-12-01,BR03,Payments Ops,Screening & Data Vendors,4540,4950,410
2025-12-01,BR03,Payments Ops,Premises,9070,10500,1430
2025-12-01,BR03,Payments Ops,Outsourcing,5290,5890,600
2025-12-01,BR03,Payments Ops,Training,1510,1610,100
2025-12-01,BR03,Payments Ops,Other,2270,2290,20
2025-12-01,BR03,IT & Technology,Staff,71280,68730,-2550
2025-12-01,BR03,IT & Technology,Technology & Systems,19440,23130,3690
2025-12-01,BR03,IT & Technology,Screening & Data Vendors,7780,8930,1150
2025-12-01,BR03,IT & Technology,Premises,15550,17360,1810
2025-12-01,BR03,IT & Technology,Outsourcing,9070,10050,980
2025-12-01,BR03,IT & Technology,Training,2590,2750,160
2025-12-01,BR03,IT & Technology,Other,3890,4280,390
2025-12-01,BR03,Compliance,Staff,35640,38470,2830
2025-12-01,BR03,Compliance,Technology & Systems,9720,10720,1000
2025-12-01,BR03,Compliance,Screening & Data Vendors,3890,4140,250
2025-12-01,BR03,Compliance,Premises,7780,7370,-410
2025-12-01,BR03,Compliance,Outsourcing,4540,5340,800
2025-12-01,BR03,Compliance,Training,1300,1370,70
2025-12-01,BR03,Compliance,Other,1940,2160,220
2024-01-01,BR04,Retail Banking Ops,Staff,108900,107480,-1420
2024-01-01,BR04,Retail Banking Ops,Technology & Systems,29700,28340,-1360
2024-01-01,BR04,Retail Banking Ops,Screening & Data Vendors,11880,10820,-1060
2024-01-01,BR04,Retail Banking Ops,Premises,23760,21740,-2020
2024-01-01,BR04,Retail Banking Ops,Outsourcing,13860,14710,850
2024-01-01,BR04,Retail Banking Ops,Training,3960,4000,40
2024-01-01,BR04,Retail Banking Ops,Other,5940,5640,-300
2024-01-01,BR04,KYC & Onboarding,Staff,49010,45600,-3410
2024-01-01,BR04,KYC & Onboarding,Technology & Systems,13370,12910,-460
2024-01-01,BR04,KYC & Onboarding,Screening & Data Vendors,5350,5060,-290
2024-01-01,BR04,KYC & Onboarding,Premises,10690,11120,430
2024-01-01,BR04,KYC & Onboarding,Outsourcing,6240,6330,90
2024-01-01,BR04,KYC & Onboarding,Training,1780,1800,20
2024-01-01,BR04,KYC & Onboarding,Other,2670,2770,100
2024-01-01,BR04,AML & Financial Crime,Staff,54450,58430,3980
2024-01-01,BR04,AML & Financial Crime,Technology & Systems,14850,14130,-720
2024-01-01,BR04,AML & Financial Crime,Screening & Data Vendors,5940,5610,-330
2024-01-01,BR04,AML & Financial Crime,Premises,11880,12380,500
2024-01-01,BR04,AML & Financial Crime,Outsourcing,6930,6960,30
2024-01-01,BR04,AML & Financial Crime,Training,1980,2160,180
2024-01-01,BR04,AML & Financial Crime,Other,2970,2910,-60
2024-01-01,BR04,Payments Ops,Staff,38120,39810,1690
2024-01-01,BR04,Payments Ops,Technology & Systems,10400,10250,-150
2024-01-01,BR04,Payments Ops,Screening & Data Vendors,4160,4110,-50
2024-01-01,BR04,Payments Ops,Premises,8320,7890,-430
2024-01-01,BR04,Payments Ops,Outsourcing,4850,5260,410
2024-01-01,BR04,Payments Ops,Training,1390,1330,-60
2024-01-01,BR04,Payments Ops,Other,2080,1930,-150
2024-01-01,BR04,IT & Technology,Staff,65340,63310,-2030
2024-01-01,BR04,IT & Technology,Technology & Systems,17820,16950,-870
2024-01-01,BR04,IT & Technology,Screening & Data Vendors,7130,7280,150
2024-01-01,BR04,IT & Technology,Premises,14260,13430,-830
2024-01-01,BR04,IT & Technology,Outsourcing,8320,8390,70
2024-01-01,BR04,IT & Technology,Training,2380,2580,200
2024-01-01,BR04,IT & Technology,Other,3560,3680,120
2024-01-01,BR04,Compliance,Staff,32670,33590,920
2024-01-01,BR04,Compliance,Technology & Systems,8910,8910,0
2024-01-01,BR04,Compliance,Screening & Data Vendors,3560,3700,140
2024-01-01,BR04,Compliance,Premises,7130,7630,500
2024-01-01,BR04,Compliance,Outsourcing,4160,3730,-430
2024-01-01,BR04,Compliance,Training,1190,1120,-70
2024-01-01,BR04,Compliance,Other,1780,1830,50
2024-02-01,BR04,Retail Banking Ops,Staff,108900,116990,8090
2024-02-01,BR04,Retail Banking Ops,Technology & Systems,29700,31430,1730
2024-02-01,BR04,Retail Banking Ops,Screening & Data Vendors,11880,13020,1140
2024-02-01,BR04,Retail Banking Ops,Premises,23760,24340,580
2024-02-01,BR04,Retail Banking Ops,Outsourcing,13860,14020,160
2024-02-01,BR04,Retail Banking Ops,Training,3960,4210,250
2024-02-01,BR04,Retail Banking Ops,Other,5940,6230,290
2024-02-01,BR04,KYC & Onboarding,Staff,49010,52770,3760
2024-02-01,BR04,KYC & Onboarding,Technology & Systems,13370,12320,-1050
2024-02-01,BR04,KYC & Onboarding,Screening & Data Vendors,5350,5300,-50
2024-02-01,BR04,KYC & Onboarding,Premises,10690,10900,210
2024-02-01,BR04,KYC & Onboarding,Outsourcing,6240,6200,-40
2024-02-01,BR04,KYC & Onboarding,Training,1780,1950,170
2024-02-01,BR04,KYC & Onboarding,Other,2670,2580,-90
2024-02-01,BR04,AML & Financial Crime,Staff,54450,59850,5400
2024-02-01,BR04,AML & Financial Crime,Technology & Systems,14850,13900,-950
2024-02-01,BR04,AML & Financial Crime,Screening & Data Vendors,5940,5830,-110
2024-02-01,BR04,AML & Financial Crime,Premises,11880,12080,200
2024-02-01,BR04,AML & Financial Crime,Outsourcing,6930,7420,490
2024-02-01,BR04,AML & Financial Crime,Training,1980,1930,-50
2024-02-01,BR04,AML & Financial Crime,Other,2970,2800,-170
2024-02-01,BR04,Payments Ops,Staff,38120,38470,350
2024-02-01,BR04,Payments Ops,Technology & Systems,10400,10360,-40
2024-02-01,BR04,Payments Ops,Screening & Data Vendors,4160,4230,70
2024-02-01,BR04,Payments Ops,Premises,8320,8110,-210
2024-02-01,BR04,Payments Ops,Outsourcing,4850,4650,-200
2024-02-01,BR04,Payments Ops,Training,1390,1370,-20
2024-02-01,BR04,Payments Ops,Other,2080,2040,-40
2024-02-01,BR04,IT & Technology,Staff,65340,63410,-1930
2024-02-01,BR04,IT & Technology,Technology & Systems,17820,17610,-210
2024-02-01,BR04,IT & Technology,Screening & Data Vendors,7130,7080,-50
2024-02-01,BR04,IT & Technology,Premises,14260,13150,-1110
2024-02-01,BR04,IT & Technology,Outsourcing,8320,8280,-40
2024-02-01,BR04,IT & Technology,Training,2380,2210,-170
2024-02-01,BR04,IT & Technology,Other,3560,3750,190
2024-02-01,BR04,Compliance,Staff,32670,31710,-960
2024-02-01,BR04,Compliance,Technology & Systems,8910,9160,250
2024-02-01,BR04,Compliance,Screening & Data Vendors,3560,3580,20
2024-02-01,BR04,Compliance,Premises,7130,7150,20
2024-02-01,BR04,Compliance,Outsourcing,4160,4020,-140
2024-02-01,BR04,Compliance,Training,1190,1200,10
2024-02-01,BR04,Compliance,Other,1780,1860,80
2024-03-01,BR04,Retail Banking Ops,Staff,108900,108340,-560
2024-03-01,BR04,Retail Banking Ops,Technology & Systems,29700,30060,360
2024-03-01,BR04,Retail Banking Ops,Screening & Data Vendors,11880,12390,510
2024-03-01,BR04,Retail Banking Ops,Premises,23760,23960,200
2024-03-01,BR04,Retail Banking Ops,Outsourcing,13860,13200,-660
2024-03-01,BR04,Retail Banking Ops,Training,3960,4250,290
2024-03-01,BR04,Retail Banking Ops,Other,5940,6540,600
2024-03-01,BR04,KYC & Onboarding,Staff,49010,51500,2490
2024-03-01,BR04,KYC & Onboarding,Technology & Systems,13370,13860,490
2024-03-01,BR04,KYC & Onboarding,Screening & Data Vendors,5350,5220,-130
2024-03-01,BR04,KYC & Onboarding,Premises,10690,10780,90
2024-03-01,BR04,KYC & Onboarding,Outsourcing,6240,6210,-30
2024-03-01,BR04,KYC & Onboarding,Training,1780,2010,230
2024-03-01,BR04,KYC & Onboarding,Other,2670,2780,110
2024-03-01,BR04,AML & Financial Crime,Staff,54450,55370,920
2024-03-01,BR04,AML & Financial Crime,Technology & Systems,14850,13870,-980
