case_id,customer_id,case_type,due_diligence_level,assigned_team,analyst_id,start_date,completion_date,sla_days,days_taken,sla_breached,id_verified,address_verified,source_of_funds_verified,source_of_wealth_verified,senior_mgmt_approval,status,rejection_reason,qa_check_passed,case_handling_hours
KYC00461,C00423,Onboarding,Standard,KYC Onboarding,AN001,2025-03-09,2025-03-17,10,8.0,N,Y,Y,Y,N/A,N/A,Approved,,Y,6.5
KYC00462,C00424,Onboarding,Standard,KYC Onboarding,AN007,2025-08-28,2025-09-01,10,4.0,N,Y,Y,Y,N/A,N/A,Approved,,Y,3.2
KYC00463,C00425,Onboarding,Simplified,KYC Onboarding,AN006,2025-01-22,2025-01-26,5,4.0,N,Y,Y,N,N/A,N/A,Approved,,Y,3.5
KYC00464,C00426,Onboarding,Standard,KYC Onboarding,AN004,2025-12-01,2025-12-03,10,2.0,N,Y,Y,N,N/A,N/A,Approved,,Y,1.7
KYC00465,C00427,Onboarding,Standard,Business Due Diligence,AN026,2025-04-29,2025-05-04,10,5.0,N,Y,Y,Y,N/A,N/A,Escalated to Compliance,,N,3.2
KYC00466,C00428,Onboarding,Standard,Business Due Diligence,AN024,2024-11-24,2024-11-27,10,3.0,N,Y,Y,N,N/A,N/A,Approved,,Y,2.4
KYC00467,C00429,Onboarding,Standard,Business Due Diligence,AN024,2024-05-31,2024-06-08,10,8.0,N,Y,N,Y,N/A,N/A,Rejected,Customer withdrew,Y,4.0
KYC00468,C00430,Onboarding,Simplified,KYC Onboarding,AN008,2025-10-20,2025-10-21,5,1.0,N,Y,Y,Y,N/A,N/A,Approved,,Y,0.6
KYC00469,C00431,Onboarding,Standard,KYC Onboarding,AN004,2024-02-10,2024-02-11,10,1.0,N,Y,Y,N,N/A,N/A,Approved,,Y,0.8
KYC00470,C00432,Onboarding,Standard,Business Due Diligence,AN022,2024-02-01,2024-02-15,10,14.0,Y,Y,Y,N,N/A,N/A,Approved,,Y,11.8
KYC00471,C00433,Onboarding,Standard,KYC Onboarding,AN005,2024-01-20,2024-01-23,10,3.0,N,Y,N,N,N/A,N/A,Approved,,Y,2.1
KYC00472,C00434,Onboarding,Standard,KYC Onboarding,AN001,2024-03-19,2024-03-21,10,2.0,N,Y,Y,Y,N/A,N/A,Approved,,Y,1.7
KYC00473,C00435,Onboarding,Simplified,KYC Onboarding,AN005,2024-06-25,2024-06-27,5,2.0,N,Y,Y,Y,N/A,N/A,Approved,,Y,1.3
KYC00474,C00436,Onboarding,Standard,KYC Onboarding,AN002,2024-12-20,2024-12-24,10,4.0,N,Y,Y,Y,N/A,N/A,Approved,,Y,2.9
KYC00475,C00437,Onboarding,Standard,KYC Onboarding,AN002,2024-07-19,2024-07-24,10,5.0,N,Y,Y,Y,N/A,N/A,Approved,,Y,2.2
KYC00476,C00438,Onboarding,Standard,KYC Onboarding,AN003,2024-11-26,2024-12-14,10,18.0,Y,Y,Y,Y,N/A,N/A,Approved,,Y,12.1
KYC00477,C00439,Onboarding,Standard,KYC Onboarding,AN008,2024-11-21,2024-11-27,10,6.0,N,Y,Y,Y,N/A,N/A,Approved,,Y,5.0
KYC00478,C00439,Trigger Event Review,Simplified,KYC Periodic Review,AN016,2025-01-04,2025-01-07,5,3.0,N,Y,Y,Y,N/A,N/A,Approved,,Y,1.7
KYC00479,C00440,Onboarding,Enhanced,Enhanced Due Diligence,AN018,2024-11-12,2024-12-19,30,37.0,Y,Y,Y,Y,Y,N,Escalated to Compliance,,Y,30.6
KYC00480,C00440,Periodic Review,Enhanced,Enhanced Due Diligence,AN021,2025-12-06,2025-12-18,30,12.0,N,Y,Y,Y,Y,Y,Approved,,Y,7.8
KYC00481,C00441,Onboarding,Enhanced,Enhanced Due Diligence,AN019,2024-02-13,2024-03-20,30,36.0,Y,Y,Y,Y,Y,Y,Approved,,Y,29.4
KYC00482,C00441,Periodic Review,Enhanced,Enhanced Due Diligence,AN018,2025-03-07,2025-04-26,30,50.0,Y,Y,Y,Y,N,Y,Approved,,Y,28.1
KYC00483,C00442,Onboarding,Simplified,KYC Onboarding,AN004,2025-01-26,2025-01-27,5,1.0,N,Y,Y,N,N/A,N/A,Approved,,Y,0.9
KYC00484,C00443,Onboarding,Standard,Business Due Diligence,AN023,2024-08-07,2024-08-11,10,4.0,N,Y,Y,Y,N/A,N/A,Approved,,Y,2.4
KYC00485,C00444,Onboarding,Enhanced,Enhanced Due Diligence,AN019,2025-01-26,2025-02-25,30,30.0,N,Y,Y,Y,Y,Y,Approved,,Y,21.4
KYC00486,C00445,Onboarding,Standard,KYC Onboarding,AN003,2024-02-14,2024-02-21,10,7.0,N,Y,Y,Y,N/A,N/A,Approved,,Y,6.2
KYC00487,C00446,Onboarding,Simplified,KYC Onboarding,AN007,2025-09-28,2025-10-02,5,4.0,N,Y,Y,N,N/A,N/A,Approved,,Y,2.5
KYC00488,C00447,Onboarding,Standard,KYC Onboarding,AN009,2025-06-07,2025-06-10,10,3.0,N,Y,Y,Y,N/A,N/A,Approved,,N,2.2
KYC00489,C00448,Onboarding,Standard,KYC Onboarding,AN008,2024-09-06,2024-09-13,10,7.0,N,Y,Y,Y,N/A,N/A,Approved,,Y,6.1
KYC00490,C00448,Trigger Event Review,Standard,KYC Periodic Review,AN013,2025-08-14,2025-08-19,10,5.0,N,Y,Y,Y,N/A,N/A,Approved,,Y,4.3
KYC00491,C00449,Onboarding,Standard,Business Due Diligence,AN023,2024-09-19,2024-09-27,10,8.0,N,Y,Y,Y,N/A,N/A,Approved,,Y,3.4
KYC00492,C00450,Onboarding,Simplified,KYC Onboarding,AN004,2024-08-15,2024-08-20,5,5.0,N,Y,Y,N,N/A,N/A,Approved,,Y,3.0
KYC00493,C00451,Onboarding,Standard,KYC Onboarding,AN002,2025-12-25,2025-12-28,10,3.0,N,Y,Y,N,N/A,N/A,Approved,,Y,2.0
KYC00494,C00452,Onboarding,Standard,KYC Onboarding,AN004,2025-05-26,2025-05-31,10,5.0,N,Y,Y,N,N/A,N/A,Approved,,Y,3.2
KYC00495,C00453,Onboarding,Standard,KYC Onboarding,AN003,2024-12-02,2024-12-06,10,4.0,N,Y,Y,Y,N/A,N/A,Approved,,Y,2.8
KYC00496,C00454,Onboarding,Standard,Business Due Diligence,AN023,2025-04-15,2025-05-21,10,36.0,Y,Y,Y,N,N/A,N/A,Approved,,Y,16.5
KYC00497,C00455,Onboarding,Simplified,KYC Onboarding,AN008,2024-02-13,2024-02-17,5,4.0,N,Y,Y,N,N/A,N/A,Rejected,Source of funds unclear,N,1.7
KYC00498,C00456,Onboarding,Standard,KYC Onboarding,AN001,2025-08-29,2025-09-05,10,7.0,N,Y,Y,Y,N/A,N/A,Approved,,Y,5.4
KYC00499,C00457,Onboarding,Standard,KYC Onboarding,AN007,2025-03-10,2025-03-11,10,1.0,N,Y,Y,Y,N/A,N/A,Approved,,N,0.5
KYC00500,C00457,Trigger Event Review,Standard,KYC Periodic Review,AN012,2025-07-10,2025-07-12,10,2.0,N,Y,N,Y,N/A,N/A,Approved,,Y,1.8
KYC00501,C00458,Onboarding,Standard,KYC Onboarding,AN008,2024-08-14,2024-08-16,10,2.0,N,Y,Y,Y,N/A,N/A,Approved,,Y,1.2
KYC00502,C00459,Onboarding,Standard,KYC Onboarding,AN004,2025-05-19,2025-06-03,10,15.0,Y,Y,Y,Y,N/A,N/A,Approved,,Y,12.9
KYC00503,C00460,Onboarding,Standard,KYC Onboarding,AN003,2024-01-01,2024-01-03,10,2.0,N,Y,Y,Y,N/A,N/A,Approved,,Y,0.9
KYC00504,C00461,Onboarding,Simplified,KYC Onboarding,AN002,2024-12-22,2024-12-24,5,2.0,N,Y,Y,Y,N/A,N/A,Approved,,Y,1.8
KYC00505,C00462,Onboarding,Simplified,KYC Onboarding,AN009,2025-11-17,2025-11-18,5,1.0,N,Y,Y,N,N/A,N/A,Approved,,Y,0.8
KYC00506,C00463,Onboarding,Enhanced,Enhanced Due Diligence,AN019,2025-07-06,2025-09-29,30,85.0,Y,Y,Y,Y,Y,Y,Approved,,Y,47.8
KYC00507,C00464,Onboarding,Simplified,KYC Onboarding,AN005,2024-02-01,2024-02-09,5,8.0,Y,Y,Y,Y,N/A,N/A,Approved,,Y,3.5
KYC00508,C00465,Onboarding,Standard,KYC Onboarding,AN006,2025-03-07,2025-03-22,10,15.0,Y,Y,Y,Y,N/A,N/A,Approved,,N,7.3
KYC00509,C00466,Onboarding,Standard,KYC Onboarding,AN010,2025-05-09,2025-05-11,10,2.0,N,Y,Y,Y,N/A,N/A,Escalated to Compliance,,Y,1.4
KYC00510,C00467,Onboarding,Standard,Business Due Diligence,AN023,2025-01-18,2025-01-24,10,6.0,N,Y,Y,N,N/A,N/A,Approved,,N,4.0
KYC00511,C00468,Onboarding,Standard,KYC Onboarding,AN006,2024-08-22,2024-08-25,10,3.0,N,Y,Y,N,N/A,N/A,Approved,,Y,1.5
KYC00512,C00469,Onboarding,Standard,KYC Onboarding,AN009,2025-05-08,2025-05-15,10,7.0,N,Y,Y,Y,N/A,N/A,Approved,,Y,3.2
KYC00513,C00470,Onboarding,Simplified,KYC Onboarding,AN006,2024-11-02,2024-11-08,5,6.0,Y,Y,N,Y,N/A,N/A,Rejected,Source of funds unclear,Y,3.9
KYC00514,C00471,Onboarding,Standard,KYC Onboarding,AN007,2025-11-23,2025-11-29,10,6.0,N,Y,Y,Y,N/A,N/A,Approved,,Y,4.0
KYC00515,C00472,Onboarding,Standard,Business Due Diligence,AN024,2025-09-02,2025-09-09,10,7.0,N,Y,Y,Y,N/A,N/A,Approved,,Y,4.2
KYC00516,C00473,Onboarding,Standard,KYC Onboarding,AN003,2025-10-23,2025-11-01,10,9.0,N,Y,Y,Y,N/A,N/A,Approved,,Y,5.6
KYC00517,C00474,Onboarding,Standard,Business Due Diligence,AN024,2024-10-29,2024-10-30,10,1.0,N,Y,Y,Y,N/A,N/A,Approved,,Y,0.5
KYC00518,C00475,Onboarding,Standard,Business Due Diligence,AN024,2025-05-09,2025-05-24,10,15.0,Y,Y,Y,N,N/A,N/A,Approved,,Y,7.8
KYC00519,C00476,Onboarding,Standard,KYC Onboarding,AN006,2024-04-14,2024-04-17,10,3.0,N,Y,Y,Y,N/A,N/A,Approved,,Y,2.5
KYC00520,C00477,Onboarding,Standard,Business Due Diligence,AN024,2025-07-04,2025-07-12,10,8.0,N,Y,Y,Y,N/A,N/A,Approved,,Y,4.0
KYC00521,C00478,Onboarding,Standard,KYC Onboarding,AN002,2025-07-05,2025-07-11,10,6.0,N,Y,Y,Y,N/A,N/A,Approved,,Y,5.1
KYC00522,C00479,Onboarding,Standard,Business Due Diligence,AN023,2025-07-20,2025-07-30,10,10.0,N,Y,Y,Y,N/A,N/A,Approved,,Y,6.9
KYC00523,C00480,Onboarding,Standard,KYC Onboarding,AN004,2024-01-11,2024-01-20,10,9.0,N,Y,Y,N,N/A,N/A,Approved,,Y,6.3
KYC00524,C00481,Onboarding,Enhanced,Enhanced Due Diligence,AN018,2024-11-25,2024-12-26,30,31.0,Y,Y,Y,N,Y,Y,Approved,,Y,20.2
KYC00525,C00481,Periodic Review,Enhanced,Enhanced Due Diligence,AN021,2025-12-06,,30,,,Y,Y,Y,Y,N,Pending,,,0.0
KYC00526,C00482,Onboarding,Standard,KYC Onboarding,AN009,2024-07-17,2024-07-25,10,8.0,N,Y,Y,Y,N/A,N/A,Approved,,Y,6.8
KYC00527,C00483,Onboarding,Standard,KYC Onboarding,AN001,2025-10-29,2025-11-01,10,3.0,N,Y,Y,Y,N/A,N/A,Approved,,Y,2.3
KYC00528,C00484,Onboarding,Standard,KYC Onboarding,AN003,2025-01-27,2025-02-14,10,18.0,Y,Y,Y,N,N/A,N/A,Approved,,N,10.7
KYC00529,C00485,Onboarding,Enhanced,Enhanced Due Diligence,AN017,2025-03-18,2025-04-14,30,27.0,N,Y,Y,Y,Y,N,Rejected,Unacceptable risk appetite,Y,18.0
KYC00530,C00486,Onboarding,Standard,KYC Onboarding,AN005,2024-11-16,2024-11-17,10,1.0,N,Y,N,N,N/A,N/A,Approved,,Y,0.9
KYC00531,C00487,Onboarding,Standard,KYC Onboarding,AN006,2024-03-23,2024-04-06,10,14.0,Y,Y,Y,Y,N/A,N/A,Approved,,Y,6.0
KYC00532,C00488,Onboarding,Standard,KYC Onboarding,AN004,2025-03-26,2025-03-28,10,2.0,N,Y,Y,N,N/A,N/A,Approved,,Y,1.0
KYC00533,C00489,Onboarding,Standard,KYC Onboarding,AN005,2025-03-19,2025-04-02,10,14.0,Y,Y,Y,Y,N/A,N/A,Approved,,Y,6.2
KYC00534,C00490,Onboarding,Simplified,KYC Onboarding,AN010,2024-10-04,2024-10-06,5,2.0,N,Y,Y,Y,N/A,N/A,Approved,,Y,1.7
KYC00535,C00491,Onboarding,Standard,Business Due Diligence,AN024,2025-04-04,2025-04-08,10,4.0,N,Y,Y,Y,N/A,N/A,Approved,,Y,2.8
KYC00536,C00491,Trigger Event Review,Standard,Business Due Diligence,AN025,2025-11-08,2025-11-23,10,15.0,Y,Y,Y,N,N/A,N/A,Approved,,Y,7.1
KYC00537,C00492,Onboarding,Simplified,KYC Onboarding,AN009,2024-10-12,2024-10-21,5,9.0,Y,Y,Y,N,N/A,N/A,Approved,,Y,3.7
KYC00538,C00493,Onboarding,Standard,KYC Onboarding,AN009,2025-04-24,2025-05-06,10,12.0,Y,Y,Y,Y,N/A,N/A,Approved,,Y,7.0
KYC00539,C00494,Onboarding,Standard,KYC Onboarding,AN004,2024-09-10,2024-09-12,10,2.0,N,Y,Y,Y,N/A,N/A,Approved,,Y,1.8
KYC00540,C00495,Onboarding,Standard,KYC Onboarding,AN005,2025-07-19,2025-07-21,10,2.0,N,Y,N,Y,N/A,N/A,Approved,,Y,1.2
KYC00541,C00496,Onboarding,Standard,KYC Onboarding,AN004,2025-10-08,2025-10-13,10,5.0,N,Y,Y,N,N/A,N/A,Approved,,Y,2.5
KYC00542,C00497,Onboarding,Standard,Business Due Diligence,AN025,2024-12-20,2024-12-30,10,10.0,N,Y,Y,Y,N/A,N/A,Approved,,Y,6.2
KYC00543,C00498,Onboarding,Standard,KYC Onboarding,AN001,2024-01-09,2024-01-10,10,1.0,N,Y,Y,Y,N/A,N/A,Approved,,Y,0.9
KYC00544,C00499,Onboarding,Standard,Business Due Diligence,AN023,2025-05-09,2025-05-15,10,6.0,N,Y,Y,N,N/A,N/A,Approved,,Y,5.1
KYC00545,C00500,Onboarding,Simplified,KYC Onboarding,AN010,2025-11-14,2025-11-16,5,2.0,N,Y,Y,Y,N/A,N/A,Approved,,Y,1.4
KYC00546,C00501,Onboarding,Simplified,KYC Onboarding,AN010,2025-05-29,2025-05-30,5,1.0,N,Y,Y,Y,N/A,N/A,Approved,,Y,0.8
KYC00547,C00502,Onboarding,Standard,Business Due Diligence,AN024,2024-09-16,2024-09-23,10,7.0,N,Y,Y,Y,N/A,N/A,Approved,,Y,4.1
KYC00548,C00503,Onboarding,Standard,Business Due Diligence,AN025,2025-02-14,2025-02-21,10,7.0,N,Y,Y,Y,N/A,N/A,Rejected,Sanctions match,Y,3.0
KYC00549,C00504,Onboarding,Standard,Business Due Diligence,AN025,2024-09-23,2024-09-30,10,7.0,N,Y,Y,Y,N/A,N/A,Approved,,N,5.9
KYC00550,C00504,Trigger Event Review,Standard,Business Due Diligence,AN022,2025-10-03,2025-10-06,10,3.0,N,Y,Y,Y,N/A,N/A,Escalated to Compliance,,Y,2.6
KYC00551,C00505,Onboarding,Standard,Business Due Diligence,AN023,2025-07-19,2025-07-21,10,2.0,N,N,Y,Y,N/A,N/A,Approved,,Y,1.4
KYC00552,C00506,Onboarding,Standard,Business Due Diligence,AN024,2025-06-11,2025-06-16,10,5.0,N,Y,Y,Y,N/A,N/A,Approved,,Y,3.1
KYC00553,C00507,Onboarding,Standard,Business Due Diligence,AN022,2025-03-30,2025-04-19,10,20.0,Y,Y,Y,Y,N/A,N/A,Approved,,Y,11.0
KYC00554,C00508,Onboarding,Standard,KYC Onboarding,AN008,2024-10-08,2024-10-13,10,5.0,N,N,Y,N,N/A,N/A,Escalated to Compliance,,Y,3.8
KYC00555,C00509,Onboarding,Standard,Business Due Diligence,AN022,2024-05-03,2024-05-04,10,1.0,N,Y,Y,Y,N/A,N/A,Approved,,Y,0.7
KYC00556,C00510,Onboarding,Standard,KYC Onboarding,AN009,2025-03-26,2025-04-03,10,8.0,N,Y,N,Y,N/A,N/A,Approved,,Y,4.4
KYC00557,C00511,Onboarding,Standard,KYC Onboarding,AN001,2024-09-02,2024-09-06,10,4.0,N,Y,Y,Y,N/A,N/A,Approved,,Y,1.8
KYC00558,C00512,Onboarding,Standard,KYC Onboarding,AN009,2025-10-20,2025-10-27,10,7.0,N,Y,Y,Y,N/A,N/A,Approved,,Y,4.6
KYC00559,C00513,Onboarding,Enhanced,Enhanced Due Diligence,AN018,2024-02-15,2024-04-08,30,53.0,Y,Y,Y,Y,Y,Y,Approved,,Y,23.6
KYC00560,C00513,Periodic Review,Enhanced,Enhanced Due Diligence,AN017,2025-03-14,2025-04-05,30,22.0,N,Y,Y,Y,Y,Y,Approved,,Y,11.5
KYC00561,C00514,Onboarding,Standard,Business Due Diligence,AN025,2025-09-08,2025-09-09,10,1.0,N,Y,Y,Y,N/A,N/A,Approved,,Y,0.9
KYC00562,C00515,Onboarding,Standard,KYC Onboarding,AN001,2025-07-21,2025-07-30,10,9.0,N,Y,Y,Y,N/A,N/A,Approved,,Y,7.9
KYC00563,C00516,Onboarding,Standard,Business Due Diligence,AN026,2025-01-11,2025-02-03,10,23.0,Y,N,Y,Y,N/A,N/A,Approved,,Y,18.0
KYC00564,C00517,Onboarding,Enhanced,Enhanced Due Diligence,AN018,2025-12-25,,30,,,Y,Y,Y,Y,N,Pending,,,0.0
KYC00565,C00518,Onboarding,Standard,KYC Onboarding,AN010,2025-06-03,2025-06-18,10,15.0,Y,Y,Y,Y,N/A,N/A,Approved,,Y,12.9
KYC00566,C00519,Onboarding,Standard,KYC Onboarding,AN001,2024-01-27,2024-01-30,10,3.0,N,Y,Y,Y,N/A,N/A,Approved,,Y,2.5
KYC00567,C00520,Onboarding,Standard,KYC Onboarding,AN001,2024-10-10,2024-10-14,10,4.0,N,Y,Y,Y,N/A,N/A,Approved,,Y,2.5
KYC00568,C00521,Onboarding,Standard,Business Due Diligence,AN026,2025-09-05,2025-09-13,10,8.0,N,Y,Y,Y,N/A,N/A,Approved,,Y,6.2
KYC00569,C00522,Onboarding,Standard,KYC Onboarding,AN002,2025-07-17,2025-07-23,10,6.0,N,Y,Y,Y,N/A,N/A,Approved,,Y,3.5
KYC00570,C00523,Onboarding,Standard,Business Due Diligence,AN024,2024-04-25,2024-05-01,10,6.0,N,Y,Y,Y,N/A,N/A,Approved,,Y,2.7
KYC00571,C00524,Onboarding,Standard,KYC Onboarding,AN002,2024-04-30,2024-05-01,10,1.0,N,Y,Y,N,N/A,N/A,Approved,,Y,0.9
KYC00572,C00525,Onboarding,Standard,Business Due Diligence,AN025,2025-11-04,2025-11-07,10,3.0,N,Y,Y,N,N/A,N/A,Approved,,N,1.2
KYC00573,C00526,Onboarding,Standard,KYC Onboarding,AN009,2024-02-01,2024-02-05,10,4.0,N,Y,N,Y,N/A,N/A,Approved,,Y,2.8
KYC00574,C00527,Onboarding,Standard,Business Due Diligence,AN025,2025-11-23,2025-11-27,10,4.0,N,Y,Y,Y,N/A,N/A,Approved,,Y,2.1
KYC00575,C00528,Onboarding,Standard,KYC Onboarding,AN008,2025-01-29,2025-01-30,10,1.0,N,Y,Y,N,N/A,N/A,Approved,,N,0.7
KYC00576,C00528,Trigger Event Review,Standard,KYC Periodic Review,AN011,2025-09-22,2025-09-30,10,8.0,N,Y,Y,Y,N/A,N/A,Approved,,Y,5.6
KYC00577,C00529,Onboarding,Standard,KYC Onboarding,AN010,2025-08-13,2025-08-19,10,6.0,N,Y,Y,Y,N/A,N/A,Rejected,Adverse media,Y,2.9
KYC00578,C00530,Onboarding,Enhanced,Enhanced Due Diligence,AN019,2024-06-04,2024-06-07,30,3.0,N,Y,Y,Y,Y,Y,Approved,,Y,1.4
KYC00579,C00530,Periodic Review,Enhanced,Enhanced Due Diligence,AN017,2025-05-22,2025-06-05,30,14.0,N,Y,Y,Y,Y,Y,Approved,,Y,7.4
KYC00580,C00531,Onboarding,Standard,Business Due Diligence,AN025,2024-09-06,2024-09-07,10,1.0,N,Y,Y,Y,N/A,N/A,Approved,,Y,0.9
KYC00581,C00532,Onboarding,Standard,Business Due Diligence,AN026,2025-06-13,2025-06-18,10,5.0,N,Y,Y,Y,N/A,N/A,Approved,,Y,2.3
KYC00582,C00533,Onboarding,Standard,KYC Onboarding,AN006,2024-04-26,2024-05-11,10,15.0,Y,Y,Y,Y,N/A,N/A,Approved,,Y,13.0
KYC00583,C00534,Onboarding,Simplified,KYC Onboarding,AN007,2024-03-13,2024-03-14,5,1.0,N,Y,Y,N,N/A,N/A,Approved,,Y,0.5
KYC00584,C00535,Onboarding,Standard,KYC Onboarding,AN005,2025-03-19,2025-03-21,10,2.0,N,Y,Y,Y,N/A,N/A,Approved,,Y,1.6
KYC00585,C00535,Trigger Event Review,Standard,KYC Periodic Review,AN011,2025-09-27,2025-09-29,10,2.0,N,Y,Y,Y,N/A,N/A,Approved,,N,1.0
KYC00586,C00536,Onboarding,Standard,KYC Onboarding,AN007,2024-01-07,2024-01-15,10,8.0,N,Y,Y,Y,N/A,N/A,Approved,,Y,6.2
KYC00587,C00537,Onboarding,Standard,KYC Onboarding,AN006,2025-11-13,2025-11-18,10,5.0,N,Y,Y,Y,N/A,N/A,Approved,,Y,2.2
KYC00588,C00538,Onboarding,Standard,Business Due Diligence,AN025,2025-05-07,2025-05-12,10,5.0,N,Y,Y,Y,N/A,N/A,Approved,,Y,2.0
KYC00589,C00539,Onboarding,Enhanced,Enhanced Due Diligence,AN017,2025-06-05,2025-07-06,30,31.0,Y,Y,Y,Y,Y,Y,Approved,,Y,14.1
KYC00590,C00540,Onboarding,Standard,Business Due Diligence,AN023,2025-01-01,2025-01-07,10,6.0,N,Y,Y,N,N/A,N/A,Approved,,Y,2.9
KYC00591,C00541,Onboarding,Standard,Business Due Diligence,AN023,2025-03-27,2025-04-07,10,11.0,Y,Y,Y,Y,N/A,N/A,Approved,,Y,8.3
KYC00592,C00542,Onboarding,Standard,Business Due Diligence,AN024,2025-11-26,2025-12-11,10,15.0,Y,Y,Y,Y,N/A,N/A,Approved,,Y,12.4
KYC00593,C00543,Onboarding,Standard,KYC Onboarding,AN010,2024-01-01,2024-01-02,10,1.0,N,Y,Y,N,N/A,N/A,Approved,,Y,0.8
KYC00594,C00544,Onboarding,Standard,KYC Onboarding,AN010,2024-06-25,2024-06-27,10,2.0,N,Y,Y,Y,N/A,N/A,Approved,,Y,1.1
KYC00595,C00545,Onboarding,Standard,KYC Onboarding,AN006,2025-05-24,2025-06-04,10,11.0,Y,Y,Y,Y,N/A,N/A,Approved,,Y,7.4
KYC00596,C00546,Onboarding,Standard,Business Due Diligence,AN022,2024-03-30,2024-03-31,10,1.0,N,Y,Y,Y,N/A,N/A,Approved,,Y,0.7
KYC00597,C00547,Onboarding,Standard,KYC Onboarding,AN007,2024-06-26,2024-07-13,10,17.0,Y,Y,Y,N,N/A,N/A,Approved,,Y,10.8
KYC00598,C00548,Onboarding,Simplified,KYC Onboarding,AN001,2024-01-14,2024-01-15,5,1.0,N,Y,Y,Y,N/A,N/A,Approved,,Y,0.6
KYC00599,C00549,Onboarding,Standard,KYC Onboarding,AN009,2024-02-09,2024-02-16,10,7.0,N,Y,Y,Y,N/A,N/A,Approved,,N,4.7
KYC00600,C00550,Onboarding,Standard,KYC Onboarding,AN002,2024-11-19,2024-12-04,10,15.0,Y,Y,Y,Y,N/A,N/A,Approved,,Y,6.7
KYC00601,C00551,Onboarding,Standard,KYC Onboarding,AN004,2025-04-26,2025-04-28,10,2.0,N,Y,Y,Y,N/A,N/A,Approved,,Y,1.1
KYC00602,C00552,Onboarding,Standard,Business Due Diligence,AN023,2024-03-10,2024-03-16,10,6.0,N,Y,Y,N,N/A,N/A,Approved,,Y,5.4
KYC00603,C00553,Onboarding,Standard,KYC Onboarding,AN005,2025-12-15,2025-12-20,10,5.0,N,Y,Y,Y,N/A,N/A,Approved,,Y,3.5
KYC00604,C00554,Onboarding,Standard,KYC Onboarding,AN003,2025-07-19,2025-07-20,10,1.0,N,Y,Y,Y,N/A,N/A,Approved,,Y,0.8
KYC00605,C00555,Onboarding,Standard,Business Due Diligence,AN022,2025-04-27,2025-05-04,10,7.0,N,Y,Y,N,N/A,N/A,Approved,,Y,3.8
KYC00606,C00556,Onboarding,Standard,KYC Onboarding,AN010,2024-02-19,2024-02-26,10,7.0,N,Y,Y,Y,N/A,N/A,Approved,,Y,5.0
KYC00607,C00557,Onboarding,Standard,Business Due Diligence,AN026,2025-01-14,2025-01-16,10,2.0,N,Y,Y,N,N/A,N/A,Rejected,Customer withdrew,Y,1.2
KYC00608,C00558,Onboarding,Simplified,KYC Onboarding,AN004,2025-11-01,2025-11-02,5,1.0,N,Y,Y,Y,N/A,N/A,Approved,,Y,0.5
KYC00609,C00559,Onboarding,Standard,KYC Onboarding,AN001,2024-06-19,2024-06-22,10,3.0,N,Y,Y,Y,N/A,N/A,Approved,,Y,1.6
KYC00610,C00560,Onboarding,Standard,KYC Onboarding,AN001,2025-01-27,2025-01-31,10,4.0,N,Y,Y,Y,N/A,N/A,Rejected,Source of funds unclear,Y,2.8
KYC00611,C00561,Onboarding,Standard,KYC Onboarding,AN008,2025-02-14,2025-02-28,10,14.0,Y,Y,Y,Y,N/A,N/A,Approved,,Y,11.8
KYC00612,C00562,Onboarding,Standard,Business Due Diligence,AN025,2025-05-22,2025-05-28,10,6.0,N,Y,Y,Y,N/A,N/A,Approved,,N,2.5
KYC00614,C00563,Onboarding,Standard,KYC Onboarding,AN010,2025-10-30,2025-11-02,10,3.0,N,Y,Y,Y,N/A,N/A,Approved,,Y,2.1
KYC00615,C00564,Onboarding,Simplified,KYC Onboarding,AN006,2024-04-03,2024-04-05,5,2.0,N,Y,Y,Y,N/A,N/A,Approved,,Y,1.4
KYC00616,C00565,Onboarding,Simplified,KYC Onboarding,AN004,2024-02-12,2024-02-15,5,3.0,N,Y,Y,Y,N/A,N/A,Approved,,Y,2.1
KYC00617,C00566,Onboarding,Standard,Business Due Diligence,AN023,2024-03-03,2024-03-09,10,6.0,N,Y,Y,Y,N/A,N/A,Approved,,Y,4.5
KYC00618,C00567,Onboarding,Standard,Business Due Diligence,AN025,2024-07-12,2024-07-17,10,5.0,N,Y,Y,Y,N/A,N/A,Approved,,Y,4.4
KYC00619,C00568,Onboarding,Standard,Business Due Diligence,AN026,2024-09-11,2024-09-12,10,1.0,N,Y,Y,Y,N/A,N/A,Approved,,Y,0.7
KYC00620,C00569,Onboarding,Standard,KYC Onboarding,AN003,2025-10-01,2025-10-13,10,12.0,Y,Y,Y,Y,N/A,N/A,Approved,,Y,10.6
KYC00621,C00570,Onboarding,Standard,KYC Onboarding,AN004,2025-01-11,2025-01-15,10,4.0,N,Y,Y,N,N/A,N/A,Approved,,Y,3.3
KYC00622,C00571,Onboarding,Standard,KYC Onboarding,AN003,2025-06-25,2025-07-12,10,17.0,Y,Y,Y,Y,N/A,N/A,Approved,,Y,7.9
KYC00623,C00572,Onboarding,Standard,KYC Onboarding,AN007,2025-02-23,2025-02-24,10,1.0,N,Y,Y,Y,N/A,N/A,Approved,,Y,0.5
KYC00624,C00573,Onboarding,Enhanced,Enhanced Due Diligence,AN020,2025-11-23,2025-12-28,30,35.0,Y,Y,Y,Y,Y,Y,Approved,,Y,16.7
